pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782952339.989632,34877,-57,11,1,6,1,-90,1,353952537,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -3 4 -2 4 -3 4 -3 4 -2 5 -3 5 -3 5 -3 5 -3 6 -2 6 -3 6 -3 7 -3 7 -2 7 -2 8 -2 8 -2 8 -2 8 -2 8 -2 9 -2 9 -1 8 -1 9 -1 9 -1 9 -1 0 0 9 -1 9 -2 9 -1 9 -2 9 -2 9 -2 9 -3 9 -3 9 -3 10 -4 10 -4 10 -4 10 -5 10 -4 11 -5 11 -5 11 -5 11 -5 11 -6 12 -6 12 -6 13 -6 13 -6 13 -5 14 -6 14 -6 0 0 0 0 0 0 0 0 0 0
1782952339.998081,34878,-57,11,1,6,1,-90,1,353962489,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -4 1 -5 1 -5 1 -5 2 -5 2 -6 2 -6 2 -6 2 -6 3 -7 3 -6 3 -6 3 -6 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 6 -7 6 -7 5 -7 5 -8 6 -7 6 -7 6 -7 0 0 5 -7 6 -8 5 -7 6 -8 5 -8 5 -8 5 -8 5 -9 5 -9 5 -9 5 -10 4 -10 4 -10 5 -10 4 -11 4 -11 5 -12 5 -12 5 -12 5 -13 5 -13 5 -13 5 -13 6 -13 6 -13 6 -13 0 0 0 0 0 0 0 0 0 0
1782952340.009747,34879,-57,11,1,6,1,-90,1,353972976,128,0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 3 2 4 2 4 2 4 3 4 3 4 3 5 3 5 3 5 3 6 3 5 3 6 3 7 3 7 2 7 2 8 2 8 2 8 2 8 2 8 2 8 2 8 2 9 2 9 2 9 0 0 2 9 2 9 1 9 2 9 2 8 2 9 2 9 3 8 3 9 4 9 4 9 4 9 5 9 5 10 5 10 5 10 5 10 5 11 5 11 6 12 6 11 5 12 6 12 7 12 7 12 6 13 0 0 0 0 0 0 0 0 0 0
1782952340.009747,34880,-57,11,1,6,1,-90,1,353982461,128,0 0 0 0 0 0 0 0 0 0 0 0 4 1 4 1 5 1 4 1 4 1 5 1 5 1 6 1 6 1 6 1 6 2 6 2 6 2 6 3 7 3 7 3 7 3 8 4 7 4 7 4 8 4 7 4 8 5 7 5 7 5 7 5 0 0 7 4 8 4 7 4 8 4 7 4 8 4 8 3 8 3 8 3 9 3 9 4 9 3 10 2 10 2 11 3 11 2 11 3 12 3 12 2 12 2 12 2 13 2 13 3 13 3 13 4 13 3 0 0 0 0 0 0 0 0 0 0
1782952340.025812,34881,-54,11,1,6,0,-90,1,353993069,128,0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 6 0 6 0 7 0 7 0 7 0 7 0 8 1 8 0 8 0 9 0 10 0 9 -1 10 -1 10 -1 11 -2 11 -3 11 -2 12 -2 12 -3 11 -3 12 -3 11 -3 12 -4 12 -4 12 0 0 -4 12 -4 11 -3 12 -4 12 -3 12 -3 12 -3 12 -2 12 -1 12 -2 13 -2 13 -2 14 -1 13 -1 14 -1 14 0 14 -1 15 0 15 0 15 -1 16 0 17 -1 17 0 16 -2 18 -1 16 -2 19 0 0 0 0 0 0 0 0 0 0
1782952340.041454,34882,-57,11,1,4,1,-90,1,354003991,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 4 -3 4 -3 5 -4 5 -4 5 -4 5 -4 5 -4 6 -4 6 -5 6 -5 6 -5 6 -5 6 -6 6 -6 6 -7 6 -7 7 -7 7 -8 7 -8 6 -8 6 -8 6 -9 6 -8 6 -8 5 -8 6 0 0 -8 5 -9 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 7 -8 8 -8 8 -7 8 -8 8 -8 9 -7 9 -9 9 -8 9 -8 10 -9 10 -9 10 -9 11 -10 11 -10 11 -11 11 -10 11 0 0 0 0 0 0 0 0 0 0
1782952340.041454,34883,-57,11,1,6,1,-90,1,354012838,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 5 -3 5 -4 5 -3 5 -4 5 -3 5 -4 5 -4 5 -4 6 -5 6 -5 6 -6 6 -5 6 -6 6 -6 7 -6 7 -6 7 -7 7 -7 7 -7 7 -7 7 -7 7 -8 7 -8 6 -8 6 -8 6 0 0 -8 6 -8 6 -7 6 -8 7 -7 7 -7 7 -7 7 -7 7 -6 7 -7 8 -7 8 -6 8 -6 8 -6 8 -6 10 -5 9 -6 10 -7 11 -6 11 -6 11 -7 11 -6 12 -7 12 -7 12 -7 11 -7 12 0 0 0 0 0 0 0 0 0 0
1782952340.057317,34884,-57,11,1,6,1,-90,1,354022520,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -3 -6 -3 -6 -3 -6 -3 -7 -3 -7 -3 -6 -3 -7 -3 -7 -3 -8 -3 -8 -3 -8 -3 -9 -3 -9 -3 -8 -3 -10 -3 -10 -3 -10 -3 -10 -3 -11 -3 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -10 0 0 -2 -10 -2 -10 -2 -10 -2 -10 -2 -10 -3 -10 -3 -10 -3 -10 -3 -10 -4 -10 -4 -10 -4 -10 -4 -10 -5 -11 -6 -11 -6 -11 -5 -11 -6 -11 -7 -12 -7 -11 -7 -12 -7 -12 -7 -13 -7 -13 -7 -13 -6 -13 0 0 0 0 0 0 0 0 0 0
1782952340.057317,34885,-57,11,1,6,1,-90,1,354032627,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -6 -4 -6 -4 -7 -4 -7 -3 -7 -4 -7 -4 -7 -4 -7 -3 -8 -4 -8 -4 -8 -4 -9 -4 -8 -4 -9 -4 -10 -4 -9 -3 -10 -3 -10 -3 -10 -2 -10 -3 -10 -2 -11 -3 -10 -3 -11 -2 -10 -2 -11 0 0 -2 -11 -2 -11 -2 -11 -3 -10 -3 -10 -3 -10 -2 -10 -3 -11 -3 -10 -4 -10 -4 -10 -5 -10 -5 -11 -5 -11 -5 -10 -6 -12 -5 -11 -6 -12 -6 -12 -6 -12 -6 -12 -6 -13 -6 -13 -6 -12 -7 -13 -7 -13 0 0 0 0 0 0 0 0 0 0
1782952340.072988,34886,-54,11,1,6,0,-90,1,354042454,128,0 0 0 0 0 0 0 0 0 0 0 0 6 1 6 1 6 1 6 1 6 2 6 2 7 2 7 2 7 3 7 2 7 3 8 3 8 3 8 4 8 4 8 4 8 4 9 4 8 5 9 5 8 5 8 6 8 6 8 6 8 6 8 6 0 0 8 6 8 6 8 6 8 6 8 6 8 6 8 6 9 5 9 5 9 5 9 5 10 4 10 4 10 4 10 4 10 4 11 4 11 4 11 5 11 4 12 5 12 5 12 5 12 5 12 6 12 5 0 0 0 0 0 0 0 0 0 0
