pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782952377.208018,38568,-52,11,1,5,1,-90,1,391171276,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 0 -9 -1 -9 -1 -9 -2 -9 -2 -10 -2 -10 -2 -10 -2 -10 -3 -10 -4 -10 -3 -10 -4 -10 -4 -11 -4 -10 -4 -11 -5 -11 -5 -11 -6 -11 -6 -10 -5 -11 -6 -10 -6 -11 -6 -10 -7 -10 -6 -10 -7 0 0 -10 -7 -10 -6 -9 -6 -10 -6 -10 -5 -10 -5 -10 -5 -10 -5 -10 -4 -10 -4 -10 -4 -10 -4 -10 -3 -10 -4 -11 -3 -11 -3 -11 -3 -12 -2 -11 -2 -12 -2 -12 -2 -12 -1 -12 -2 -12 -1 -12 -1 -13 -1 0 0 0 0 0 0 0 0 0 0
1782952377.208018,38569,-52,11,1,5,1,-90,1,391181217,128,0 0 0 0 0 0 0 0 0 0 0 0 6 4 6 5 5 6 6 6 5 6 6 6 5 7 5 7 5 7 5 8 5 8 5 9 5 8 5 9 5 9 4 10 4 10 4 10 4 10 3 10 3 10 3 11 4 10 3 10 3 10 3 11 0 0 3 10 3 10 3 10 3 9 3 9 3 9 3 9 4 9 4 9 4 9 5 9 5 8 5 9 5 9 5 8 6 9 6 8 6 8 6 9 7 8 7 8 7 9 8 8 7 8 8 8 8 9 0 0 0 0 0 0 0 0 0 0
1782952377.220885,38570,-52,11,1,5,1,-90,1,391191238,128,0 0 0 0 0 0 0 0 0 0 0 0 8 1 8 1 8 2 8 2 8 2 8 3 9 3 8 4 8 4 8 5 8 5 9 5 8 6 8 6 8 5 9 6 8 6 9 7 9 7 9 7 9 7 9 7 8 8 8 8 7 8 7 8 0 0 7 7 8 7 7 7 9 7 8 6 8 7 8 5 8 6 8 5 9 6 9 5 8 5 8 5 9 5 10 5 9 4 10 5 10 4 10 3 11 4 11 3 11 3 12 4 11 4 11 4 11 3 0 0 0 0 0 0 0 0 0 0
1782952377.236828,38571,-52,11,1,5,1,-90,1,391201196,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 7 -2 8 -2 8 -2 8 -3 8 -3 8 -4 8 -3 9 -4 9 -4 8 -5 9 -5 8 -6 9 -6 9 -6 9 -6 9 -7 9 -6 9 -7 9 -7 9 -7 9 -8 9 -8 8 -8 8 -8 8 -8 8 0 0 -8 8 -7 8 -7 8 -7 8 -7 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -5 9 -5 9 -6 9 -4 9 -5 10 -5 9 -4 10 -4 10 -5 10 -4 11 -3 11 -4 11 -4 11 -4 11 -4 11 0 0 0 0 0 0 0 0 0 0
1782952377.236828,38572,-52,11,1,5,1,-90,1,391211185,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -4 7 -4 7 -4 8 -3 8 -3 9 -3 8 -3 8 -3 9 -2 9 -2 9 -2 10 -2 10 -1 10 -2 11 -2 10 0 11 0 11 0 11 0 11 0 11 0 11 1 11 0 11 0 10 0 11 1 0 0 10 1 11 0 10 1 10 0 9 0 10 0 10 0 10 -1 10 -1 10 -1 10 -2 10 -2 10 -2 10 -3 10 -2 10 -3 10 -3 11 -3 10 -4 11 -3 10 -4 10 -4 10 -5 11 -5 11 -5 11 -5 0 0 0 0 0 0 0 0 0 0
1782952377.252516,38573,-52,11,1,5,1,-90,1,391221214,128,0 0 0 0 0 0 0 0 0 0 0 0 2 7 1 7 1 8 1 8 1 9 0 8 0 9 0 9 0 9 0 10 -1 10 -1 10 -1 10 -1 11 -1 10 -1 11 -2 11 -2 11 -2 10 -2 11 -2 11 -2 11 -2 12 -3 11 -3 11 -3 10 0 0 -2 10 -2 11 -2 10 -2 11 -1 10 -1 10 -1 10 -1 10 -1 10 0 11 0 10 0 10 1 10 1 9 2 10 2 9 1 11 2 10 3 10 3 11 3 10 4 10 4 11 4 11 4 11 4 10 0 0 0 0 0 0 0 0 0 0
1782952377.268583,38574,-52,11,1,5,1,-90,1,391231216,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -8 -2 -9 -1 -9 -1 -9 -1 -9 -1 -10 0 -10 0 -10 0 -10 1 -10 1 -11 1 -11 2 -11 2 -11 2 -12 2 -11 3 -12 3 -11 4 -12 3 -11 3 -12 4 -11 4 -11 4 -11 4 -11 4 -11 0 0 4 -11 4 -11 4 -10 3 -11 3 -10 3 -10 3 -10 2 -11 2 -11 2 -11 2 -10 1 -11 1 -11 0 -11 0 -11 0 -12 0 -11 -1 -12 0 -12 -1 -12 -1 -12 -1 -12 -2 -12 -1 -13 -1 -12 -1 -13 0 0 0 0 0 0 0 0 0 0
1782952377.268583,38575,-52,11,1,5,1,-90,1,391241106,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -9 -2 -9 -1 -9 0 -9 0 -9 0 -9 0 -10 0 -10 1 -10 1 -11 2 -11 2 -11 2 -11 3 -11 2 -11 3 -11 3 -11 3 -12 4 -11 4 -12 4 -11 4 -11 5 -11 5 -11 5 -10 4 -10 0 0 4 -11 4 -11 4 -10 4 -11 3 -10 4 -10 3 -10 3 -10 3 -10 2 -11 2 -10 2 -10 2 -10 2 -10 1 -11 1 -11 1 -11 1 -12 0 -12 0 -12 0 -12 0 -12 0 -13 0 -12 0 -12 0 -13 0 0 0 0 0 0 0 0 0 0
1782952377.284378,38576,-52,11,1,5,1,-90,1,391251233,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -9 -2 -9 -1 -9 -1 -9 0 -10 0 -10 0 -10 1 -10 1 -10 1 -11 1 -11 2 -11 2 -11 2 -11 2 -11 3 -12 3 -12 3 -12 4 -12 4 -12 4 -12 4 -11 4 -12 5 -11 5 -11 5 -11 0 0 4 -11 4 -11 4 -10 4 -11 4 -10 4 -11 4 -11 3 -11 3 -11 2 -11 2 -11 2 -11 1 -11 2 -11 1 -12 0 -11 1 -12 0 -12 0 -12 0 -12 0 -12 0 -13 0 -13 -1 -13 -1 -13 -1 -13 0 0 0 0 0 0 0 0 0 0
1782952377.300102,38577,-52,11,1,5,1,-90,1,391261229,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -8 3 -8 4 -7 4 -8 5 -8 5 -8 5 -8 5 -8 6 -8 6 -8 7 -8 7 -8 8 -8 8 -8 8 -8 8 -8 9 -8 8 -7 9 -7 9 -8 9 -8 9 -7 9 -7 9 -6 9 -7 9 -6 0 0 9 -7 8 -7 9 -6 8 -7 8 -6 7 -7 8 -7 7 -7 8 -8 7 -8 7 -8 7 -8 7 -8 7 -9 7 -9 7 -9 6 -9 6 -10 6 -10 6 -10 5 -11 5 -11 5 -11 5 -11 6 -11 6 -11 0 0 0 0 0 0 0 0 0 0
