pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782948690.464325,47345,-57,11,1,4,1,-90,1,492191670,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 3 -6 3 -6 2 -7 2 -7 2 -7 2 -8 2 -8 2 -8 1 -9 0 -8 0 -8 0 -8 0 -9 -1 -9 0 -9 0 -9 -1 -10 0 -9 -1 -9 -1 -10 -1 -9 -2 -9 -2 -9 -2 -9 -2 -9 -3 0 0 -8 -3 -9 -3 -8 -3 -9 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -8 -2 -7 -1 -7 0 -7 0 -7 0 -8 0 -7 1 -8 1 -7 2 -8 2 -8 2 -9 2 -8 3 -9 3 -9 4 0 0 0 0 0 0 0 0 0 0
1782948690.475785,47346,-57,11,1,4,1,-90,1,492201658,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -4 5 -3 5 -3 6 -3 6 -3 7 -3 6 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -1 8 -1 8 -1 9 -1 8 0 9 0 8 0 9 1 9 1 8 0 8 1 8 0 8 1 0 0 8 1 8 1 8 1 7 1 8 1 7 1 7 1 7 0 7 1 7 0 6 0 6 -1 7 -1 6 -1 6 -1 7 -2 6 -2 7 -3 6 -3 6 -4 7 -4 7 -4 6 -4 7 -5 7 -6 7 -5 0 0 0 0 0 0 0 0 0 0
1782948690.475785,47347,-54,11,1,4,0,-90,1,492211670,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 2 -10 2 -11 1 -11 1 -11 1 -11 1 -11 0 -12 -1 -12 -1 -13 -1 -12 -1 -13 -2 -13 -3 -13 -3 -13 -3 -13 -4 -13 -4 -14 -4 -14 -5 -13 -6 -14 -6 -13 -6 -14 -6 -13 -7 -13 -7 -13 -6 0 0 -12 -7 -12 -7 -12 -7 -12 -7 -11 -6 -11 -6 -11 -6 -11 -6 -11 -5 -10 -5 -11 -4 -11 -4 -11 -4 -11 -3 -11 -3 -10 -2 -10 -2 -12 -2 -11 0 -12 0 -12 1 -14 1 -14 0 -13 1 -14 1 -14 2 0 0 0 0 0 0 0 0 0 0
1782948690.491808,47348,-54,11,1,4,0,-90,1,492221640,128,0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -2 1 -2 2 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 0 0 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -1 1 -2 1 -2 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 2 -1 2 -1 2 -1 2 0 0 0 0 0 0 0 0 0 0
1782948690.507460,47349,-54,11,1,4,0,-90,1,492231618,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -1 -3 -1 -2 0 -2 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -2 -1 -2 -1 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 0 0 -3 -2 -2 -2 -3 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -1 -2 -1 -3 -1 -3 -1 -3 -1 -2 -1 -3 -1 -3 -1 -3 0 -3 0 -3 0 -3 0 0 0 0 0 0 0 0 0 0 0
1782948690.507460,47350,-57,11,1,4,1,-90,1,492241586,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -1 -7 -2 -7 -3 -7 -3 -7 -3 -7 -3 -7 -4 -7 -4 -7 -5 -7 -5 -7 -4 -7 -5 -7 -5 -8 -5 -8 -6 -7 -6 -7 -7 -7 -6 -7 -7 -7 -7 -6 -7 -7 -8 -6 -7 -7 -7 -6 -8 -6 -7 0 0 -6 -8 -6 -7 -6 -7 -5 -7 -6 -7 -5 -7 -5 -7 -6 -6 -6 -6 -6 -5 -6 -5 -6 -5 -6 -5 -7 -5 -6 -4 -7 -5 -7 -3 -7 -4 -8 -3 -7 -4 -8 -2 -8 -3 -9 -2 -8 -1 -9 -2 -11 -2 0 0 0 0 0 0 0 0 0 0
1782948690.523387,47351,-57,11,1,4,1,-90,1,492251572,128,0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 4 5 4 5 4 5 3 5 3 6 4 6 4 6 3 6 3 7 2 7 3 7 2 7 3 7 3 7 3 7 3 8 3 8 3 8 2 8 2 8 2 9 1 8 1 8 1 8 0 0 1 8 1 8 2 7 1 8 1 7 1 7 1 7 2 7 2 6 2 7 2 6 2 6 2 5 3 5 4 6 4 4 4 5 5 5 5 4 6 5 6 4 6 4 6 5 7 5 7 5 7 4 0 0 0 0 0 0 0 0 0 0
1782948690.539056,47352,-57,11,1,4,1,-90,1,492271782,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -1 -7 -2 -7 -2 -7 -2 -8 -3 -7 -3 -7 -3 -7 -3 -7 -4 -7 -4 -7 -5 -7 -4 -7 -5 -7 -6 -8 -5 -7 -6 -7 -6 -7 -6 -7 -7 -7 -7 -7 -6 -7 -7 -6 -7 -6 -8 -5 -7 -6 -8 0 0 -6 -8 -5 -7 -5 -7 -5 -7 -5 -7 -6 -7 -5 -6 -6 -6 -5 -6 -6 -6 -6 -6 -6 -5 -6 -5 -6 -5 -6 -4 -6 -4 -6 -4 -7 -4 -7 -3 -8 -3 -8 -3 -8 -3 -9 -2 -9 -3 -9 -3 -10 -2 0 0 0 0 0 0 0 0 0 0
1782948690.539056,47353,-57,11,1,4,1,-90,1,492272113,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 2 -6 2 -7 1 -7 1 -7 1 -7 1 -8 0 -7 0 -8 0 -9 -1 -8 -1 -9 -1 -8 -1 -9 -1 -8 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -3 -9 -3 -9 -3 -9 -3 -8 -4 -9 -3 0 0 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -7 -2 -8 -2 -7 -2 -7 -2 -8 -1 -7 -1 -7 -1 -7 0 -8 0 -8 0 -7 1 -8 1 -8 1 -8 2 -8 2 -9 3 -9 2 -9 3 0 0 0 0 0 0 0 0 0 0
1782948690.554743,47354,-57,11,1,4,1,-90,1,492281620,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -6 0 -6 1 -7 1 -7 2 -7 2 -7 2 -7 2 -7 3 -7 3 -7 4 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 5 -7 5 -7 6 -8 6 -7 6 -7 6 -7 6 -6 6 -6 6 -6 0 0 6 -6 6 -6 5 -6 5 -6 5 -6 5 -6 5 -5 5 -6 4 -6 5 -6 4 -6 4 -6 3 -6 3 -6 3 -6 2 -7 2 -8 2 -7 1 -8 1 -8 1 -8 1 -8 1 -9 0 -9 0 -9 0 -9 0 0 0 0 0 0 0 0 0 0
