pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782949108.574048,87695,-58,11,1,3,0,-90,1,910289636,128,0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 3 0 2 0 2 0 1 1 1 1 0 2 -1 2 -1 3 -1 4 -1 5 -1 5 -1 6 -1 7 0 7 0 8 1 8 1 9 2 9 2 9 3 9 4 10 3 10 4 10 4 10 5 0 0 10 6 10 6 10 6 10 6 10 7 9 7 10 7 10 7 10 7 9 7 10 7 10 6 10 6 10 6 10 6 10 6 10 5 10 5 10 5 12 6 11 5 13 6 11 2 13 6 11 2 11 3 0 0 0 0 0 0 0 0 0 0
1782949108.574048,87696,-61,11,1,4,1,-90,1,910294695,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 -2 -2 -2 -1 -2 -1 -2 0 -2 0 -2 0 -2 1 -2 1 -3 1 -3 1 -4 1 -4 1 -4 1 -5 1 -5 1 -6 1 -6 1 -6 1 -6 1 -7 0 -7 0 -7 0 -7 0 0 0 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 0 -7 0 -7 0 -7 0 -7 0 -7 0 -7 1 -8 1 -8 1 -8 1 -8 1 -8 1 0 0 0 0 0 0 0 0 0 0
1782949108.589689,87697,-58,11,1,2,0,-90,1,910301493,128,0 0 0 0 0 0 0 0 0 0 0 0 4 2 4 2 3 2 2 2 2 1 1 0 2 -1 2 -1 2 -2 2 -3 3 -3 4 -4 4 -4 5 -5 7 -5 7 -5 8 -5 8 -5 9 -4 10 -5 11 -4 11 -4 12 -3 12 -3 13 -3 13 -2 0 0 13 -2 14 -1 14 -1 13 0 14 -1 13 0 14 0 13 -1 14 0 14 0 14 0 14 0 14 -1 14 -1 13 -2 13 -1 13 -2 13 -2 14 -1 14 -2 14 -4 14 -3 13 -2 15 -4 15 -6 13 -5 0 0 0 0 0 0 0 0 0 0
1782949108.589689,87698,-62,11,1,3,1,-90,1,910311157,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -2 2 -2 2 -1 1 -1 1 -1 1 -1 0 -1 0 -2 0 -2 0 -2 -1 -3 -1 -3 -1 -3 -1 -4 -1 -4 -1 -5 0 -5 0 -5 0 -6 0 -6 1 -6 1 -6 1 -6 1 -6 2 -6 2 -6 0 0 2 -7 2 -6 2 -7 2 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 2 -7 2 -7 2 -7 2 -7 2 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -8 0 0 0 0 0 0 0 0 0 0
1782949108.605638,87699,-62,11,1,4,1,-90,1,910327662,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -4 1 -3 1 -3 1 -2 1 -2 0 -2 0 -2 -1 -2 -1 -2 -1 -2 -1 -2 -2 -2 -2 -3 -2 -3 -2 -3 -3 -4 -3 -4 -3 -5 -3 -5 -3 -6 -3 -6 -3 -6 -2 -6 -2 -7 -2 -7 -2 -7 0 0 -2 -7 -2 -7 -2 -7 -2 -8 -2 -8 -2 -8 -2 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -7 -1 -7 -2 -7 -2 -7 -2 -7 -2 -7 -2 -7 -2 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -4 -7 0 0 0 0 0 0 0 0 0 0
1782949108.621285,87700,-61,11,1,4,1,-90,1,910328245,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -2 2 -2 2 -2 1 -2 1 -1 1 -1 0 -1 0 -2 0 -2 -1 -2 -1 -2 -1 -3 -1 -3 -1 -4 -1 -4 -1 -4 -1 -5 -1 -5 -1 -6 -1 -6 -1 -6 -1 -7 0 -7 0 -7 0 -7 1 -7 0 0 1 -7 1 -7 1 -7 1 -8 1 -8 1 -8 1 -7 1 -8 1 -8 2 -8 2 -8 2 -7 1 -7 1 -7 1 -7 1 -8 1 -8 1 -7 1 -7 0 -7 0 -7 0 -7 0 -8 0 -8 -1 -8 -1 -8 0 0 0 0 0 0 0 0 0 0
1782949108.621285,87701,-61,11,1,1,1,-90,1,910341968,128,0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 2 1 2 1 2 0 1 0 1 0 0 0 0 0 0 1 -1 1 -1 1 -1 1 -2 2 -2 2 -2 3 -2 3 -2 3 -2 4 -2 4 -2 4 -1 5 -1 5 -1 5 -1 5 -1 6 -1 0 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 7 0 7 0 6 0 6 0 6 0 6 0 6 1 6 1 6 0 6 0 6 0 6 0 6 0 6 -1 6 -2 7 -2 6 -2 5 -2 0 0 0 0 0 0 0 0 0 0
1782949108.636937,87702,-62,11,1,4,1,-90,1,910348216,128,0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 3 0 2 0 1 0 1 0 1 0 1 -1 0 -1 0 -1 0 -2 0 -2 0 -3 0 -4 0 -4 0 -5 0 -5 1 -5 1 -5 1 -6 2 -6 2 -6 2 -6 3 -6 3 -6 3 -6 0 0 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 5 -7 5 -7 4 -7 5 -7 5 -7 4 -7 4 -7 4 -7 4 -7 4 -7 3 -7 3 -7 3 -7 3 -7 2 -7 2 -7 2 -8 0 0 0 0 0 0 0 0 0 0
1782949108.636937,87703,-62,11,1,4,1,-90,1,910358167,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -3 -3 -3 -3 -3 -2 -3 -2 -2 -2 -2 -1 -2 -1 -1 -1 -1 -1 0 -1 0 -1 1 -2 1 -2 2 -2 2 -3 3 -3 3 -4 3 -4 3 -4 3 -5 4 -5 4 -6 4 -6 3 -6 3 -6 3 0 0 -7 3 -7 3 -7 3 -7 4 -7 3 -7 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -7 3 -8 3 -8 3 -7 3 -7 3 -7 3 -7 4 -7 4 -7 4 -6 4 -6 5 -6 5 0 0 0 0 0 0 0 0 0 0
1782949108.655771,87704,-59,11,1,4,0,-90,1,910368072,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -2 2 -2 2 -2 1 -1 1 -1 1 0 0 -1 0 -1 -1 -1 0 -1 -1 -1 -2 -1 -2 -1 -3 -2 -3 -2 -2 -3 -3 -3 -3 -3 -2 -4 -3 -4 -3 -4 -3 -4 -3 -5 -3 -5 -3 -6 -3 -6 0 0 -3 -6 -3 -7 -3 -6 -2 -7 -2 -7 -3 -7 -3 -7 -2 -7 -3 -7 -2 -7 -2 -7 -2 -7 -2 -7 -3 -7 -2 -6 -2 -6 -3 -6 -3 -6 -3 -6 -3 -6 -4 -6 -3 -6 -4 -5 -4 -5 -4 -5 -4 -5 0 0 0 0 0 0 0 0 0 0
