pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782949257.682783,102047,-59,11,1,5,1,-90,1,1059393328,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -3 -4 -3 -4 -3 -3 -2 -3 -2 -2 -2 -2 -1 -2 -1 -2 -1 -2 0 -1 0 -2 1 -2 1 -2 2 -1 2 -2 3 -2 3 -3 4 -3 4 -3 4 -4 4 -4 5 -4 5 -5 5 -5 5 -5 6 0 0 -6 6 -6 6 -6 6 -6 7 -6 6 -6 7 -6 7 -6 8 -6 7 -7 8 -7 8 -7 8 -7 8 -7 8 -7 9 -7 9 -7 9 -8 9 -7 9 -7 9 -7 9 -7 10 -7 10 -8 9 -8 9 -8 10 0 0 0 0 0 0 0 0 0 0
1782949257.702572,102048,-59,11,1,4,1,-90,1,1059410090,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -4 3 -3 2 -2 2 -2 2 -2 2 -2 1 -1 1 -1 0 -1 0 -2 -1 -2 -1 -2 -2 -2 -2 -3 -2 -3 -3 -3 -3 -4 -3 -4 -3 -5 -3 -5 -3 -6 -3 -6 -4 -6 -4 -7 -3 -7 -4 -8 0 0 -4 -8 -4 -8 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -11 -5 -11 -4 -11 -4 -11 -5 -11 -4 -11 -5 -11 -5 -11 -5 -11 -5 -12 -5 -11 -5 -12 -5 -12 -5 -12 0 0 0 0 0 0 0 0 0 0
1782949257.714591,102049,-59,11,1,5,1,-90,1,1059422651,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 3 -3 2 -3 2 -3 1 -2 1 -2 1 -2 1 -2 0 -1 1 0 1 0 1 0 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 4 3 4 3 4 3 5 3 5 3 5 3 6 0 0 3 7 3 7 3 7 4 7 4 7 3 8 3 8 3 8 4 8 4 8 4 8 5 8 4 9 4 9 4 9 4 10 4 9 5 9 4 9 5 10 5 10 5 10 4 10 5 10 5 10 5 10 0 0 0 0 0 0 0 0 0 0
1782949257.718595,102050,-59,11,1,5,1,-90,1,1059423366,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -4 2 -3 2 -3 2 -3 2 -2 1 -2 1 -2 1 -2 0 -2 -1 -2 -1 -2 -1 -2 -2 -2 -3 -3 -3 -3 -3 -3 -4 -3 -4 -4 -4 -4 -4 -5 -4 -5 -5 -6 -5 -6 -5 -6 -5 -6 -5 -7 0 0 -5 -7 -5 -8 -5 -7 -5 -8 -5 -8 -6 -8 -6 -9 -6 -9 -5 -9 -6 -10 -6 -9 -6 -10 -6 -9 -6 -9 -7 -10 -7 -9 -7 -11 -7 -10 -7 -10 -7 -11 -7 -10 -8 -10 -7 -11 -7 -11 -7 -11 -7 -11 0 0 0 0 0 0 0 0 0 0
1782949257.726606,102051,-56,11,1,5,0,-90,1,1059433342,128,0 0 0 0 0 0 0 0 0 0 0 0 3 5 2 5 1 5 1 4 1 4 0 3 0 2 1 1 1 1 1 0 1 -1 2 -1 3 -2 3 -2 4 -2 4 -3 5 -3 6 -3 6 -4 7 -4 8 -4 8 -4 9 -4 9 -5 10 -5 10 -5 0 0 11 -5 12 -5 12 -5 12 -5 13 -6 13 -5 14 -5 14 -5 14 -6 14 -6 15 -6 14 -6 14 -7 15 -7 14 -7 15 -7 15 -8 14 -8 15 -8 16 -8 16 -8 17 -9 15 -8 16 -9 14 -8 16 -7 0 0 0 0 0 0 0 0 0 0
1782949257.736363,102052,-59,11,1,5,1,-90,1,1059443464,128,0 0 0 0 0 0 0 0 0 0 0 0 2 3 2 2 1 2 1 2 1 2 1 1 0 1 1 0 1 0 0 0 0 -1 1 -1 1 -1 2 -2 2 -2 2 -3 3 -3 3 -3 3 -4 4 -4 4 -4 5 -4 5 -4 5 -4 6 -4 6 -5 0 0 6 -5 7 -5 7 -5 7 -5 7 -5 7 -5 8 -5 8 -5 8 -5 8 -6 8 -6 8 -6 8 -6 8 -6 9 -6 9 -6 9 -6 9 -6 9 -6 9 -6 9 -7 10 -7 9 -7 9 -7 9 -7 10 -8 0 0 0 0 0 0 0 0 0 0
1782949257.748124,102053,-59,11,1,4,1,-90,1,1059456046,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -1 3 0 3 0 3 -1 2 0 2 0 1 0 1 -1 1 -1 0 -1 0 -2 0 -2 0 -3 0 -3 -1 -3 -1 -4 -1 -4 -1 -5 0 -5 -1 -6 -1 -6 -1 -6 -1 -7 0 -7 0 -7 0 -8 0 0 0 -8 0 -9 0 -9 0 -10 0 -9 0 -10 0 -10 0 -10 0 -10 1 -11 0 -11 0 -11 1 -11 0 -10 0 -12 0 -11 0 -12 0 -11 -1 -12 -1 -12 0 -12 -1 -12 0 -13 0 -12 0 -12 0 -13 0 0 0 0 0 0 0 0 0 0
1782949257.756135,102054,-59,11,1,5,1,-90,1,1059463487,128,0 0 0 0 0 0 0 0 0 0 0 0 2 3 1 3 1 3 1 2 0 2 0 2 0 1 1 1 0 0 0 0 1 -1 1 -1 1 -2 1 -2 2 -2 2 -3 3 -3 3 -3 4 -3 4 -3 5 -4 5 -3 5 -3 6 -3 6 -3 6 -4 0 0 7 -4 7 -4 8 -4 7 -4 8 -4 8 -4 8 -4 8 -4 9 -4 8 -5 9 -5 9 -5 9 -5 10 -5 9 -5 10 -5 9 -5 10 -6 10 -5 10 -6 10 -6 11 -6 10 -6 10 -6 10 -6 11 -6 0 0 0 0 0 0 0 0 0 0
1782949257.765889,102055,-59,11,1,5,1,-90,1,1059473402,128,0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 3 1 3 0 3 0 2 0 2 0 1 0 1 0 1 0 0 1 0 1 -1 1 -1 2 -1 3 -2 3 -2 3 -2 3 -2 4 -2 4 -2 5 -2 5 -2 6 -2 6 -2 6 -2 7 -2 0 0 7 -2 8 -2 8 -1 7 -1 8 -2 8 -2 9 -1 9 -1 9 -1 9 -1 9 -1 10 -2 10 -1 10 -2 10 -1 10 -1 10 -1 11 -1 11 -1 11 -2 11 -2 12 -2 11 -2 11 -2 11 -2 12 -2 0 0 0 0 0 0 0 0 0 0
1782949257.775907,102056,-59,11,1,5,1,-90,1,1059483295,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -3 2 -3 2 -3 2 -2 2 -2 2 -2 1 -2 1 -2 0 -2 0 -1 -1 -2 -1 -2 -1 -2 -2 -3 -2 -3 -3 -3 -3 -4 -3 -4 -3 -5 -3 -5 -4 -5 -4 -5 -4 -6 -4 -7 -4 -7 -4 -7 0 0 -4 -7 -5 -8 -5 -7 -5 -8 -5 -8 -5 -8 -5 -8 -5 -9 -6 -9 -6 -9 -5 -10 -6 -9 -6 -9 -6 -10 -6 -10 -7 -10 -6 -10 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -7 -11 -7 -11 -7 -11 0 0 0 0 0 0 0 0 0 0
