pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782950389.936189,26041,-41,11,1,4,1,-90,1,270309516,128,0 0 0 0 0 0 0 0 0 0 0 0 9 0 9 1 9 1 9 2 9 2 9 3 9 3 9 3 10 3 9 4 10 5 9 5 9 5 9 6 9 5 10 6 9 6 9 6 9 6 9 6 9 7 9 6 9 7 8 7 8 6 8 6 0 0 8 6 9 6 8 5 9 5 8 5 9 5 9 5 9 4 9 3 10 4 10 3 10 3 10 3 10 3 11 2 11 2 11 2 11 2 11 2 12 1 12 2 12 1 13 2 12 2 13 2 13 2 0 0 0 0 0 0 0 0 0 0
1782950389.949820,26042,-43,11,1,4,0,-90,1,270316502,128,0 0 0 0 0 0 0 0 0 0 0 0 10 -1 10 -1 10 0 11 1 10 1 11 2 11 2 11 2 11 3 11 3 12 4 11 4 11 4 12 4 11 5 11 5 11 6 11 5 11 5 10 5 11 6 10 6 11 5 11 5 11 5 11 5 0 0 11 5 10 5 10 4 10 4 10 4 10 4 10 4 10 3 10 2 12 2 11 2 11 2 11 1 12 2 12 2 11 0 12 1 12 0 13 0 13 0 14 -1 13 0 14 0 14 0 15 0 14 0 0 0 0 0 0 0 0 0 0 0
1782950389.949820,26043,-41,11,1,4,1,-90,1,270325811,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -2 9 -1 9 -1 9 0 9 0 10 0 9 1 10 1 10 1 10 2 10 2 10 2 10 3 11 3 11 3 10 3 10 4 10 4 10 4 10 4 10 5 10 5 10 4 10 4 10 4 10 4 0 0 10 4 9 4 9 4 9 3 9 3 9 3 9 3 9 2 10 2 10 1 10 1 10 1 10 1 11 1 11 1 11 0 11 0 11 0 12 0 12 0 12 0 12 0 12 -1 12 -1 13 -1 13 0 0 0 0 0 0 0 0 0 0 0
1782950389.974496,26044,-41,11,1,4,1,-90,1,270335676,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 6 -7 6 -8 6 -8 6 -8 5 -8 5 -9 5 -9 5 -9 5 -10 5 -10 5 -10 5 -10 4 -11 4 -11 4 -11 4 -11 4 -11 4 -11 3 -11 3 -11 4 -11 3 -11 3 -11 3 -11 3 -11 4 0 0 -11 4 -11 4 -10 4 -10 4 -10 4 -10 4 -9 5 -9 5 -9 5 -9 6 -9 6 -9 6 -9 6 -9 7 -9 7 -9 7 -9 7 -9 8 -9 8 -8 9 -9 9 -9 9 -9 9 -9 9 -9 10 -10 10 0 0 0 0 0 0 0 0 0 0
1782950389.983840,26045,-41,11,1,4,1,-90,1,270345728,128,0 0 0 0 0 0 0 0 0 0 0 0 4 7 4 8 4 8 3 8 3 9 3 9 3 9 3 9 3 9 2 10 2 10 2 10 1 10 1 10 1 11 1 11 1 11 0 11 0 11 0 11 0 11 0 11 0 11 0 11 0 11 0 10 0 0 1 10 1 10 1 10 1 10 1 10 1 10 2 10 2 10 2 9 3 10 3 9 4 9 3 9 4 9 5 10 5 10 5 10 5 10 6 10 6 10 6 10 6 10 7 11 7 11 6 11 7 11 0 0 0 0 0 0 0 0 0 0
1782950389.983840,26046,-41,11,1,4,1,-90,1,270356151,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 8 -4 8 -5 8 -5 8 -5 8 -6 8 -6 8 -6 8 -7 8 -7 8 -7 8 -7 8 -8 8 -8 8 -8 8 -9 8 -9 8 -9 7 -9 7 -9 7 -9 7 -9 7 -9 7 -9 7 -9 7 -9 7 0 0 -8 7 -8 7 -8 7 -8 7 -7 7 -7 7 -7 8 -7 8 -7 8 -6 9 -6 9 -6 9 -6 9 -5 10 -5 10 -6 10 -5 10 -5 10 -5 11 -5 11 -5 12 -5 12 -5 12 -5 12 -5 12 -5 13 0 0 0 0 0 0 0 0 0 0
1782950389.998014,26047,-41,11,1,4,1,-90,1,270366001,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -5 8 -5 8 -4 8 -4 9 -4 9 -3 9 -3 9 -3 10 -3 10 -2 10 -2 10 -2 11 -2 11 -1 10 -1 11 -1 11 -1 11 -1 11 0 11 0 11 0 11 0 11 0 11 0 10 0 10 0 0 0 10 0 10 -1 10 -1 10 -1 10 -1 10 -1 10 -2 10 -2 10 -2 10 -3 10 -3 10 -3 10 -4 10 -4 10 -4 10 -5 11 -5 10 -5 11 -5 11 -6 11 -6 11 -6 12 -6 12 -6 12 -6 12 -6 0 0 0 0 0 0 0 0 0 0
1782950390.013961,26048,-41,11,1,4,1,-90,1,270375970,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -5 -8 -5 -8 -6 -8 -6 -8 -7 -8 -7 -8 -7 -8 -8 -8 -8 -8 -8 -7 -9 -7 -9 -7 -9 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -6 -10 -7 -10 -6 -10 -6 -10 -6 -10 -6 -10 0 0 -6 -10 -6 -9 -6 -9 -7 -9 -7 -9 -7 -9 -7 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -9 -8 -9 -7 -10 -7 -10 -7 -10 -7 -11 -7 -11 -7 -11 -7 -12 -7 -12 -7 -12 -8 -12 -8 -12 -8 0 0 0 0 0 0 0 0 0 0
1782950390.013961,26049,-43,11,1,5,0,-90,1,270384291,128,0 0 0 0 0 0 0 0 0 0 0 0 7 7 8 7 7 8 7 9 6 8 6 9 6 10 5 10 6 10 5 10 5 11 5 11 5 12 4 11 5 12 4 11 3 12 4 12 4 13 3 13 3 12 3 12 2 11 2 12 3 11 2 11 0 0 2 12 3 11 3 11 3 10 4 10 4 11 4 10 5 11 5 10 4 9 5 10 5 10 6 10 6 10 6 10 8 10 7 11 8 10 8 11 8 10 8 11 8 11 8 10 9 12 9 11 10 12 0 0 0 0 0 0 0 0 0 0
1782950390.029686,26050,-41,11,1,4,1,-90,1,270396027,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 8 -2 8 -2 9 -3 9 -3 9 -3 9 -4 9 -4 9 -4 9 -5 9 -5 9 -6 9 -6 9 -6 9 -6 9 -6 9 -7 9 -7 9 -7 9 -7 9 -7 9 -7 8 -7 9 -7 8 -7 8 -7 8 0 0 -7 8 -6 8 -6 8 -6 8 -6 8 -6 9 -5 9 -5 9 -5 9 -5 10 -4 9 -4 10 -4 10 -4 10 -4 10 -3 11 -3 11 -3 11 -3 11 -3 12 -3 12 -3 12 -3 13 -3 13 -3 13 -3 13 0 0 0 0 0 0 0 0 0 0
