pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784734186.893838,32887,-39,11,1,7,1,-95,1,366231110,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -4 5 -4 4 -3 5 -3 6 -4 6 -4 6 -2 6 -3 6 -3 6 -3 6 -3 6 -3 7 -2 7 -2 7 -2 7 -1 7 -1 7 -1 8 -1 7 -1 8 -2 8 -1 7 -1 7 -2 7 -1 8 -1 0 0 8 -1 8 -1 8 -2 8 -2 8 -2 8 -2 8 -2 9 -2 9 -2 9 -3 9 -3 9 -3 9 -4 9 -3 9 -3 10 -4 9 -3 10 -4 10 -4 11 -4 11 -4 12 -4 11 -5 11 -5 11 -5 12 -5 0 0 0 0 0 0 0 0 0 0
1784734186.898633,32888,-38,11,1,7,1,-95,1,366241486,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -4 5 -4 5 -4 5 -4 6 -4 5 -3 6 -3 6 -3 6 -3 7 -3 7 -2 7 -3 7 -2 7 -2 7 -2 7 -2 7 -2 7 -1 7 -2 7 -1 8 -1 8 -2 8 -2 7 -2 8 -2 8 -2 0 0 8 -2 8 -2 8 -2 8 -2 8 -3 8 -2 8 -3 9 -3 9 -2 9 -4 9 -3 9 -4 9 -4 9 -4 9 -4 9 -4 10 -4 10 -5 10 -5 11 -5 11 -5 11 -5 12 -5 11 -5 12 -5 12 -5 0 0 0 0 0 0 0 0 0 0
1784734186.911018,32889,-38,11,1,7,1,-95,1,366251133,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 4 -5 4 -5 5 -6 3 -6 4 -6 4 -6 3 -6 3 -7 3 -7 3 -7 3 -7 2 -8 2 -8 2 -7 2 -8 3 -8 2 -8 2 -7 2 -8 3 -7 3 -7 2 -8 3 -8 2 -8 2 -8 2 0 0 -8 3 -8 3 -7 3 -9 3 -8 3 -9 4 -8 4 -8 5 -8 5 -9 5 -9 5 -9 5 -8 5 -8 5 -9 7 -9 6 -9 6 -9 7 -9 6 -9 8 -9 6 -9 7 -10 7 -11 7 -10 7 -10 7 0 0 0 0 0 0 0 0 0 0
1784734186.920821,32890,-39,11,1,7,1,-95,1,366261149,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -3 -6 -2 -6 -3 -6 -2 -7 -1 -7 -2 -7 -2 -7 -2 -7 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 0 -8 -1 -8 -1 -8 0 -8 0 -8 -1 -9 0 -8 0 -8 0 -9 0 -8 0 -9 0 0 0 -9 0 -9 -1 -9 -1 -8 -1 -9 -1 -9 -1 -10 -1 -9 -1 -10 -2 -10 -2 -10 -2 -10 -2 -10 -2 -11 -2 -10 -2 -12 -2 -11 -3 -12 -3 -11 -3 -11 -3 -12 -3 -12 -3 -13 -3 -12 -4 -13 -3 -13 0 0 0 0 0 0 0 0 0 0
1784734186.927584,32891,-39,11,1,7,1,-95,1,366271129,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -3 5 -2 6 -2 5 -2 6 -2 6 -2 6 -2 6 -1 6 -1 7 -1 7 -1 7 0 7 0 7 0 7 0 7 1 7 0 7 0 8 1 7 0 8 0 7 1 7 0 8 0 8 0 7 0 0 0 8 0 8 0 8 0 8 0 8 -1 8 0 8 -1 9 -1 8 0 9 -1 9 -1 9 -2 9 -1 9 -1 10 -2 10 -2 10 -2 11 -2 11 -2 11 -3 11 -2 12 -2 11 -2 12 -3 13 -3 13 -3 0 0 0 0 0 0 0 0 0 0
1784734186.936141,32892,-38,11,1,7,1,-95,1,366283562,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 2 -7 2 -7 1 -7 1 -8 1 -7 1 -7 1 -7 1 -8 0 -8 0 -8 0 -8 0 -8 -1 -8 -1 -8 0 -8 -1 -9 -1 -9 -1 -9 -1 -8 -1 -8 -1 -9 -1 -9 -1 -9 -1 -8 -2 -9 -1 0 0 -9 -1 -9 -1 -9 -1 -9 0 -9 0 -10 0 -9 0 -10 1 -10 0 -10 1 -10 0 -11 1 -11 0 -10 1 -11 1 -11 1 -12 1 -11 1 -12 2 -12 2 -12 2 -13 2 -13 2 -13 2 -14 2 -14 2 0 0 0 0 0 0 0 0 0 0
1784734186.944912,32893,-39,11,1,7,1,-95,1,366291833,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 -1 -7 -2 -8 -2 -7 -2 -7 -2 -7 -3 -7 -3 -7 -4 -7 -4 -7 -4 -8 -4 -7 -4 -7 -4 -7 -4 -7 -5 -7 -5 -6 -5 -7 -6 -7 -5 -8 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 0 0 -7 -5 -7 -5 -7 -5 -7 -5 -8 -5 -8 -5 -8 -4 -8 -5 -8 -5 -9 -5 -9 -5 -9 -5 -9 -4 -10 -5 -10 -5 -10 -6 -10 -5 -10 -5 -11 -6 -11 -5 -11 -6 -12 -6 -11 -5 -11 -6 -12 -5 -13 -6 0 0 0 0 0 0 0 0 0 0
1784734186.960471,32894,-39,11,1,7,1,-95,1,366304175,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 5 -3 6 -4 5 -4 5 -5 6 -4 5 -5 5 -5 5 -5 5 -5 5 -6 4 -6 5 -6 5 -6 5 -6 5 -7 5 -6 4 -7 5 -7 4 -6 4 -7 4 -6 4 -6 5 -7 5 -6 4 -6 5 0 0 -7 5 -6 5 -7 5 -6 6 -6 6 -7 6 -6 6 -7 6 -6 6 -7 6 -7 7 -6 7 -6 7 -7 7 -6 8 -7 8 -8 8 -7 9 -7 9 -7 9 -7 9 -7 9 -8 10 -8 10 -8 10 -7 10 0 0 0 0 0 0 0 0 0 0
1784734186.960471,32895,-38,11,1,7,1,-95,1,366311144,128,0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 6 1 6 1 6 1 6 1 7 0 7 0 7 0 7 -1 7 -1 7 -1 7 -1 7 -2 7 -1 7 -2 7 -1 7 -2 8 -1 8 -2 7 -2 7 -1 7 -1 8 -2 7 -2 7 -2 8 0 0 -1 8 -1 8 -1 8 -1 9 -1 9 -1 9 -1 9 -1 9 0 9 0 9 0 10 0 9 0 9 0 10 1 10 1 10 1 11 1 11 1 10 2 11 1 12 2 12 1 12 1 13 1 12 2 13 0 0 0 0 0 0 0 0 0 0
1784734186.976690,32896,-39,11,1,7,1,-95,1,366321144,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -2 -6 -2 -7 -1 -7 -2 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 0 -7 0 -8 1 -8 0 -8 1 -8 1 -8 1 -7 1 -7 1 -7 1 -8 1 -8 1 -8 0 -8 1 -8 2 -8 1 -8 0 0 1 -8 1 -9 1 -9 1 -9 1 -8 1 -9 0 -9 0 -9 1 -9 0 -9 0 -10 0 -9 0 -10 0 -10 0 -11 0 -11 0 -11 0 -11 -1 -11 -1 -12 0 -12 -1 -12 -1 -13 0 -13 0 -13 -1 -14 0 0 0 0 0 0 0 0 0 0
