pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784734590.640952,71876,-39,11,1,7,1,-95,1,770028213,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -7 4 -6 4 -6 5 -6 6 -5 5 -6 5 -5 6 -5 6 -5 7 -5 7 -5 6 -4 7 -4 7 -4 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 6 -3 7 -3 6 -3 6 -3 0 0 7 -3 6 -3 6 -3 7 -4 6 -4 7 -3 6 -5 6 -4 6 -5 7 -6 6 -6 6 -5 6 -7 6 -6 7 -7 7 -6 7 -7 8 -7 7 -7 7 -8 8 -8 8 -8 8 -8 9 -8 8 -8 9 -9 0 0 0 0 0 0 0 0 0 0
1784734590.656311,71877,-39,11,1,7,1,-95,1,770038483,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -4 6 -4 7 -3 6 -3 7 -2 7 -2 7 -2 8 -2 8 -2 8 -1 7 -1 8 -1 8 0 8 0 8 0 8 0 7 0 8 0 7 0 7 0 7 0 7 0 7 -1 7 0 7 0 7 0 0 0 7 -1 7 -1 7 -2 7 -2 7 -2 7 -2 7 -3 7 -2 7 -3 8 -3 8 -3 7 -4 8 -4 8 -4 8 -5 8 -5 9 -5 9 -5 8 -6 10 -6 9 -5 9 -7 10 -6 11 -6 10 -7 10 -7 0 0 0 0 0 0 0 0 0 0
1784734590.663915,71878,-39,11,1,7,1,-95,1,770049532,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 4 -7 3 -8 3 -7 2 -8 2 -7 2 -8 2 -8 2 -8 2 -8 1 -9 1 -9 1 -8 0 -9 0 -9 1 -9 0 -9 0 -9 0 -9 0 -9 0 -8 0 -9 0 -8 0 -8 0 -8 0 -8 0 0 0 -8 0 -8 1 -8 1 -8 2 -8 2 -8 2 -8 2 -8 3 -8 3 -8 3 -8 3 -8 3 -8 4 -8 4 -9 5 -8 4 -9 5 -9 6 -9 6 -9 6 -9 6 -9 7 -10 7 -10 7 -10 8 -10 6 0 0 0 0 0 0 0 0 0 0
1784734590.667974,71879,-39,11,1,7,1,-95,1,770058393,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -3 -8 -2 -8 -2 -8 -2 -8 -1 -8 -1 -8 -1 -8 0 -8 0 -8 0 -9 0 -8 1 -8 1 -9 2 -8 1 -8 1 -8 1 -9 1 -8 1 -9 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 0 0 1 -8 1 -8 1 -8 0 -8 0 -8 -1 -9 -1 -8 -1 -9 -1 -8 -2 -9 -1 -8 -2 -9 -2 -9 -2 -9 -2 -10 -2 -9 -2 -10 -3 -10 -3 -10 -4 -10 -3 -11 -3 -11 -4 -11 -3 -11 -4 -11 -4 -12 0 0 0 0 0 0 0 0 0 0
1784734590.679910,71880,-39,11,1,7,1,-95,1,770068110,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -6 -5 -6 -6 -5 -6 -6 -7 -5 -7 -6 -6 -5 -7 -5 -7 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -3 -8 -4 -9 -4 -8 -4 -8 -4 -8 -4 -8 -3 -8 -3 -8 -4 -8 -4 -8 -3 -7 -3 -7 0 0 -4 -7 -4 -8 -4 -8 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -7 -7 -6 -6 -7 -7 -7 -7 -7 -7 -8 -7 -8 -7 -9 -7 -9 -8 -10 -7 -9 -8 -9 -8 -9 -8 -10 -8 0 0 0 0 0 0 0 0 0 0
1784734590.695755,71881,-38,11,1,7,1,-95,1,770083074,128,0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 -2 7 -2 7 -2 7 -2 7 -3 7 -3 8 -3 7 -4 6 -4 7 -4 7 -5 7 -4 7 -4 7 -4 7 -4 7 -4 7 -5 7 -5 7 -4 7 -4 6 -5 6 -5 7 -5 6 -5 6 0 0 -4 6 -3 6 -4 5 -3 7 -3 6 -3 7 -3 6 -3 7 -3 7 -3 8 -2 7 -2 7 -2 7 -2 8 -2 9 -1 9 -1 9 -1 10 -1 10 -1 10 -1 9 0 10 -1 11 -2 11 -1 11 -1 11 0 0 0 0 0 0 0 0 0 0
1784734590.704007,71882,-38,11,1,7,1,-95,1,770088957,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -4 -7 -4 -8 -3 -7 -3 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -9 -1 -8 0 -9 0 -9 0 -9 0 -9 0 -9 0 -8 0 -9 0 -8 0 -9 0 -9 0 -9 0 -9 0 -8 0 -8 0 -8 0 0 -1 -8 -1 -9 -1 -7 -2 -8 -2 -8 -2 -8 -2 -8 -2 -9 -3 -8 -3 -9 -3 -9 -3 -9 -3 -9 -3 -8 -4 -9 -5 -9 -5 -10 -5 -9 -5 -9 -5 -9 -5 -9 -6 -10 -6 -11 -5 -10 -6 -11 -5 -10 0 0 0 0 0 0 0 0 0 0
1784734590.729225,71883,-37,11,1,7,1,-95,1,770098135,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 6 -4 6 -5 6 -5 5 -6 5 -6 5 -6 5 -6 5 -7 5 -7 5 -7 4 -7 4 -8 4 -8 4 -7 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 3 -8 4 -8 3 -7 3 -8 4 0 0 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 5 -7 6 -7 6 -7 6 -7 6 -7 6 -6 7 -6 7 -7 7 -7 8 -6 8 -6 8 -6 8 -7 9 -7 9 -7 9 -7 9 -7 9 0 0 0 0 0 0 0 0 0 0
1784734590.729225,71884,-37,11,1,7,1,-95,1,770121929,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -6 -4 -7 -3 -8 -3 -8 -3 -8 -2 -8 -3 -8 -2 -9 -3 -8 -2 -8 -2 -9 -1 -9 -1 -8 -1 -8 -1 -9 -1 -9 -1 -9 0 -9 -1 -9 -1 -8 0 -9 0 -9 -1 -9 0 -9 -1 -8 -1 -9 0 0 -1 -8 -1 -9 -2 -9 -1 -8 -2 -9 -2 -8 -2 -9 -2 -9 -2 -9 -3 -9 -3 -9 -3 -10 -3 -9 -4 -10 -4 -9 -4 -10 -4 -10 -4 -10 -4 -10 -5 -10 -5 -10 -5 -11 -5 -11 -5 -11 -6 -11 -5 -12 0 0 0 0 0 0 0 0 0 0
1784734590.737910,71885,-37,11,1,7,1,-95,1,770128132,128,0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 -1 7 -1 7 -2 7 -2 7 -2 7 -2 8 -2 7 -3 7 -4 7 -4 7 -4 7 -4 7 -4 6 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -5 7 -5 6 -4 6 -4 7 0 0 -4 7 -3 7 -4 6 -4 7 -3 7 -3 7 -3 7 -3 8 -3 7 -2 8 -3 8 -2 8 -2 9 -2 9 -2 9 -1 8 -1 9 -1 10 -1 10 -1 10 -1 10 -1 11 -1 11 -1 11 -1 11 -1 12 0 0 0 0 0 0 0 0 0 0
