pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784734394.616117,52981,-36,11,1,7,1,-95,1,573984467,128,0 0 0 0 0 0 0 0 0 0 0 0 6 1 6 1 7 1 6 2 7 2 6 2 6 3 7 3 7 3 7 4 6 4 6 4 6 4 6 5 6 4 6 5 6 4 6 5 6 4 6 4 6 4 6 4 6 5 6 5 6 5 6 5 0 0 6 4 6 4 6 4 7 4 6 4 7 3 7 3 7 3 7 3 8 3 8 3 8 3 8 3 8 3 9 3 9 2 10 3 10 2 10 2 11 2 11 2 11 2 12 3 12 3 12 3 12 3 0 0 0 0 0 0 0 0 0 0
1784734394.627786,52982,-37,11,1,7,1,-95,1,573994432,128,0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 0 6 -1 7 -2 6 -2 7 -2 7 -3 7 -3 7 -3 6 -3 7 -3 7 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 7 -4 6 -4 6 -4 6 -4 6 -5 6 -4 6 -5 6 0 0 -4 6 -4 7 -4 7 -4 6 -3 7 -3 7 -3 7 -3 8 -3 7 -3 8 -3 8 -3 8 -3 8 -2 9 -2 9 -2 10 -2 9 -2 10 -2 10 -1 11 -2 11 -2 12 -2 11 -2 12 -2 12 -2 12 0 0 0 0 0 0 0 0 0 0
1784734394.631674,52983,-37,11,1,7,1,-95,1,574004445,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -6 3 -7 4 -6 4 -6 5 -5 5 -6 5 -5 5 -6 6 -5 5 -5 6 -5 6 -5 6 -5 7 -5 7 -4 7 -4 7 -4 7 -4 7 -4 7 -3 7 -3 7 -3 6 -4 6 -4 7 -4 6 -4 0 0 7 -4 6 -4 7 -4 6 -4 7 -4 7 -5 7 -5 7 -5 7 -5 7 -6 6 -5 7 -6 7 -6 7 -6 7 -6 7 -6 8 -7 8 -7 8 -7 8 -7 8 -8 8 -8 8 -8 9 -8 9 -9 9 -9 0 0 0 0 0 0 0 0 0 0
1784734394.642457,52984,-36,11,1,7,1,-95,1,574014492,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -7 2 -7 3 -7 3 -7 3 -7 3 -7 4 -7 4 -7 4 -7 5 -7 5 -6 5 -6 5 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -5 6 -5 6 -6 0 0 6 -6 5 -6 5 -6 6 -7 5 -7 5 -7 5 -7 5 -8 5 -7 5 -8 5 -8 5 -8 5 -8 5 -9 5 -10 5 -9 5 -10 5 -10 5 -10 5 -11 5 -11 5 -12 6 -12 6 -12 6 -12 6 -13 0 0 0 0 0 0 0 0 0 0
1784734394.652194,52985,-36,11,1,7,1,-95,1,574024457,128,0 0 0 0 0 0 0 0 0 0 0 0 5 3 5 4 5 4 5 5 4 5 4 5 4 5 4 5 4 6 4 6 3 6 3 6 3 6 3 6 3 7 3 6 3 7 3 7 3 7 2 7 3 7 3 7 3 6 3 7 2 7 3 7 0 0 3 6 3 6 3 7 3 6 4 6 4 7 4 6 4 6 4 6 5 6 5 6 5 6 5 7 6 7 6 7 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 7 8 8 9 8 9 8 0 0 0 0 0 0 0 0 0 0
1784734394.664229,52986,-37,11,1,7,1,-95,1,574034527,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 6 -4 5 -5 6 -5 5 -5 5 -5 5 -5 5 -6 4 -6 4 -6 5 -7 4 -6 4 -7 4 -7 4 -7 4 -7 3 -7 3 -7 3 -8 4 -7 4 -7 3 -8 4 -8 4 -7 3 -7 4 -7 4 0 0 -7 4 -7 4 -7 4 -7 4 -6 4 -7 5 -6 4 -6 5 -7 5 -6 6 -7 6 -6 6 -7 6 -6 7 -6 7 -6 8 -7 7 -6 8 -7 8 -7 9 -7 9 -7 9 -7 9 -7 10 -7 10 -7 10 0 0 0 0 0 0 0 0 0 0
1784734394.691334,52987,-36,11,1,7,1,-95,1,574044414,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -7 -2 -7 -1 -7 -1 -7 -1 -8 0 -8 0 -8 0 -8 0 -8 1 -8 1 -8 1 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 0 0 1 -8 2 -8 1 -8 1 -8 1 -8 1 -9 1 -8 0 -9 1 -9 0 -9 0 -9 0 -9 0 -9 0 -10 -1 -10 -1 -10 -1 -11 -1 -11 -1 -11 -1 -11 -1 -12 -2 -12 -1 -12 -1 -13 -1 -13 -1 -13 0 0 0 0 0 0 0 0 0 0
1784734394.691334,52988,-37,11,1,7,1,-95,1,574054950,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 2 -7 2 -8 1 -7 1 -8 0 -8 0 -7 0 -8 0 -8 -1 -8 -1 -8 -1 -8 -1 -8 -2 -8 -2 -9 -2 -8 -2 -8 -2 -8 -2 -8 -3 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 0 0 -8 -2 -9 -2 -9 -2 -8 -1 -9 -1 -8 -1 -9 -1 -9 -1 -9 -1 -9 0 -9 0 -10 0 -10 0 -10 1 -10 0 -11 1 -10 1 -11 1 -11 1 -12 1 -11 1 -12 2 -12 1 -13 2 -13 1 -13 2 0 0 0 0 0 0 0 0 0 0
1784734394.691334,52989,-36,11,1,7,1,-95,1,574067789,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -8 2 -8 2 -7 2 -8 3 -7 3 -8 3 -8 4 -7 4 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -6 5 -7 5 -7 5 -7 5 -7 5 -6 5 -6 5 -6 0 0 5 -7 5 -7 5 -7 5 -7 4 -7 4 -8 4 -8 4 -8 4 -8 4 -9 5 -9 4 -9 4 -9 4 -9 4 -10 4 -10 5 -10 4 -11 4 -11 4 -11 4 -11 4 -12 5 -12 5 -13 5 -13 5 -13 0 0 0 0 0 0 0 0 0 0
1784734394.704257,52990,-36,11,1,7,1,-95,1,574074402,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 5 -5 5 -5 5 -6 5 -6 4 -6 4 -6 4 -7 4 -7 4 -7 4 -7 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 2 -8 3 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 0 0 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 4 -8 4 -8 4 -8 5 -8 5 -8 5 -8 5 -8 5 -8 6 -8 6 -9 6 -9 6 -9 7 -9 7 -9 7 -9 8 -10 8 -10 7 -10 8 -10 8 0 0 0 0 0 0 0 0 0 0
