pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784734432.198746,56597,-36,11,1,7,1,-95,1,611513789,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -2 6 -2 7 -1 7 -1 7 0 7 0 7 1 7 1 7 1 7 1 7 1 7 1 7 2 7 2 7 2 7 2 7 2 7 3 7 3 7 3 7 3 7 3 7 2 7 3 7 2 7 3 0 0 7 2 7 2 7 2 8 2 8 2 8 2 8 2 8 2 8 2 9 1 9 1 9 1 9 1 9 1 10 0 10 0 10 0 11 0 11 0 11 0 11 0 11 0 12 0 12 0 12 0 13 0 0 0 0 0 0 0 0 0 0 0
1784734432.198746,56598,-36,11,1,7,1,-95,1,611514088,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -3 -7 -2 -7 -2 -7 -1 -8 -2 -8 -1 -8 -1 -8 0 -8 0 -8 0 -8 0 -8 1 -8 0 -9 1 -8 1 -9 1 -8 1 -9 1 -8 1 -9 1 -8 1 -8 1 -9 1 -9 1 -8 1 -9 0 0 1 -9 1 -9 1 -9 1 -9 0 -9 0 -9 0 -9 0 -9 0 -9 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -2 -11 -1 -10 -2 -11 -2 -11 -2 -12 -2 -12 -2 -12 -2 -12 -3 -13 -2 -13 -3 -13 -3 -13 0 0 0 0 0 0 0 0 0 0
1784734432.198746,56599,-37,11,1,7,1,-95,1,611515815,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 6 -2 6 -3 6 -4 6 -4 6 -4 6 -4 5 -5 6 -5 5 -5 6 -5 6 -5 5 -6 6 -6 5 -6 6 -6 6 -7 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 6 0 0 -6 5 -6 6 -6 6 -6 6 -5 6 -5 6 -5 6 -6 7 -5 7 -5 7 -5 7 -4 8 -5 8 -5 9 -5 9 -5 9 -5 9 -4 9 -4 10 -4 10 -5 11 -5 11 -5 11 -5 11 -6 11 -5 12 0 0 0 0 0 0 0 0 0 0
1784734432.198746,56600,-37,11,1,7,1,-95,1,611517273,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -6 2 -6 3 -6 3 -6 4 -6 4 -6 4 -6 4 -6 4 -6 5 -6 5 -6 5 -5 6 -5 6 -5 5 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -6 6 -5 6 -5 6 -5 0 0 6 -6 6 -6 6 -6 6 -6 5 -6 5 -6 5 -7 5 -7 5 -7 5 -8 6 -7 5 -8 5 -8 5 -8 5 -9 5 -9 5 -9 5 -10 5 -10 5 -10 5 -11 5 -11 6 -11 6 -11 6 -11 6 -11 0 0 0 0 0 0 0 0 0 0
1784734432.198746,56601,-37,11,1,7,1,-95,1,611518866,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -6 3 -6 3 -6 4 -6 4 -6 4 -6 4 -6 5 -6 5 -5 5 -5 5 -5 6 -5 6 -5 6 -5 6 -5 6 -4 6 -4 6 -4 6 -5 6 -4 6 -5 7 -4 6 -4 6 -4 6 -5 6 -5 0 0 6 -5 6 -5 6 -5 6 -5 6 -5 6 -6 6 -6 6 -6 6 -6 6 -7 6 -7 6 -7 6 -7 6 -8 6 -8 6 -8 6 -8 6 -9 7 -9 6 -9 6 -10 7 -10 7 -10 7 -10 7 -11 7 -11 0 0 0 0 0 0 0 0 0 0
1784734432.198746,56602,-36,11,1,7,1,-95,1,611527880,128,0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 6 0 6 0 7 0 6 0 7 0 7 -1 7 -1 7 -1 7 -1 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -3 7 -3 7 -2 7 -2 7 -2 7 -2 7 -3 7 -2 8 0 0 -2 8 -2 7 -2 8 -2 7 -2 8 -1 8 -1 8 -1 8 -1 8 -1 8 -1 9 0 9 0 9 0 10 0 9 0 10 0 9 1 10 1 10 1 10 2 11 2 12 2 11 1 12 1 12 1 13 0 0 0 0 0 0 0 0 0 0
1784734432.198746,56603,-33,11,1,7,0,-95,1,611533224,128,0 0 0 0 0 0 0 0 0 0 0 0 0 9 -1 9 -2 9 -2 10 -3 10 -3 10 -4 10 -4 10 -5 10 -5 10 -5 10 -6 10 -6 10 -6 10 -6 10 -7 10 -7 10 -7 10 -7 9 -7 9 -7 10 -7 9 -7 10 -7 10 -7 10 -7 10 0 0 -7 10 -7 10 -7 10 -7 10 -7 11 -7 11 -7 11 -7 12 -6 12 -6 12 -5 13 -5 13 -5 13 -6 14 -5 14 -5 14 -5 15 -5 15 -5 16 -5 16 -6 17 -5 17 -5 18 -5 18 -5 18 -6 19 0 0 0 0 0 0 0 0 0 0
1784734432.199955,56604,-36,11,1,7,1,-95,1,611546263,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -7 -1 -8 -2 -8 -2 -8 -2 -8 -3 -7 -3 -8 -3 -8 -4 -7 -3 -7 -3 -8 -4 -7 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -7 -4 0 0 -8 -4 -8 -4 -8 -4 -8 -4 -8 -3 -8 -3 -9 -3 -9 -3 -9 -3 -9 -2 -9 -3 -9 -2 -10 -3 -10 -2 -11 -2 -10 -2 -11 -2 -11 -2 -12 -2 -12 -1 -12 -2 -12 -2 -13 -2 -13 -3 -13 -2 -13 -2 0 0 0 0 0 0 0 0 0 0
1784734432.199955,56605,-37,11,1,7,1,-95,1,611553290,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -3 -5 -3 -6 -4 -5 -4 -6 -5 -6 -4 -6 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -6 -5 -6 -4 -7 -4 -6 -5 -6 -4 -7 -5 -7 -4 -7 -5 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -8 -4 -7 0 0 -4 -7 -5 -7 -4 -7 -5 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -7 -7 -6 -7 -7 -7 -6 -7 -7 -7 -8 -7 -7 -7 -7 -8 -8 -8 -8 -7 -9 -7 -9 -8 -9 -8 -9 -9 -9 -9 -9 -9 -10 -9 0 0 0 0 0 0 0 0 0 0
1784734432.205069,56606,-37,11,1,7,1,-95,1,611563258,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -6 -1 -7 0 -7 0 -7 1 -7 1 -8 1 -7 1 -7 1 -7 2 -7 2 -7 2 -7 2 -7 2 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 2 -7 3 -7 0 0 2 -7 3 -7 2 -8 2 -8 2 -8 2 -9 2 -8 2 -9 2 -9 1 -8 1 -9 1 -9 1 -9 1 -10 1 -10 1 -10 1 -10 1 -11 0 -11 0 -11 0 -12 0 -12 0 -12 1 -13 1 -13 0 -13 0 0 0 0 0 0 0 0 0 0
1784734432.206825,56607,-37,11,1,7,1,-95,1,611573266,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -4 5 -4 5 -3 5 -3 6 -3 6 -3 6 -2 6 -2 7 -2 6 -2 7 -2 7 -2 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 0 0 7 -1 7 -1 7 -1 8 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 -3 8 -3 8 -4 8 -3 8 -4 9 -4 9 -4 9 -4 9 -5 9 -4 10 -5 10 -5 10 -5 11 -5 11 -6 11 -6 12 -6 0 0 0 0 0 0 0 0 0 0
1784734432.206825,56608,-37,11,1,7,1,-95,1,611583353,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -5 4 -4 5 -4 5 -4 5 -4 5 -4 6 -4 6 -3 6 -3 7 -3 7 -2 6 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -1 7 -2 7 -2 7 -2 7 -1 7 -1 0 0 7 -2 7 -2 7 -2 7 -2 7 -2 7 -3 7 -3 8 -3 7 -3 8 -4 8 -4 8 -4 8 -4 8 -4 9 -5 8 -5 9 -5 9 -5 9 -5 9 -6 10 -5 10 -6 11 -6 11 -6 11 -6 11 -6 0 0 0 0 0 0 0 0 0 0
1784734432.216027,56609,-37,11,1,7,1,-95,1,611593253,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 5 -4 5 -4 5 -5 5 -5 4 -5 5 -6 4 -6 4 -6 4 -6 4 -6 3 -7 4 -7 4 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 0 0 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 5 -7 6 -7 6 -7 6 -7 6 -7 7 -7 7 -7 7 -7 7 -7 8 -8 8 -8 9 -8 9 -8 9 -8 9 -9 9 -9 9 -9 10 0 0 0 0 0 0 0 0 0 0
1784734432.230300,56610,-37,11,1,7,1,-95,1,611603238,128,0 0 0 0 0 0 0 0 0 0 0 0 0 6 -1 6 -2 6 -2 6 -2 6 -2 6 -3 6 -3 6 -3 6 -4 5 -4 6 -4 6 -4 6 -5 6 -4 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 5 -5 6 -5 6 -5 5 -5 6 0 0 -4 6 -5 6 -4 6 -5 6 -4 7 -5 7 -4 7 -4 7 -4 7 -4 8 -4 8 -4 8 -3 8 -4 8 -3 9 -4 8 -4 9 -4 9 -3 9 -3 10 -4 10 -4 11 -4 11 -4 11 -4 11 -4 12 0 0 0 0 0 0 0 0 0 0
1784734432.234951,56611,-37,11,1,7,1,-95,1,611613254,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -6 -2 -6 -2 -7 -1 -7 -1 -7 -1 -7 0 -7 0 -7 0 -7 1 -7 1 -8 1 -8 1 -7 2 -8 1 -8 1 -8 2 -8 2 -8 2 -8 2 -7 2 -8 2 -8 2 -8 2 -8 2 -8 2 -7 0 0 2 -8 1 -7 1 -8 1 -8 1 -8 1 -8 1 -8 1 -9 1 -9 0 -10 0 -9 0 -9 0 -9 0 -9 -1 -11 -1 -10 0 -11 -1 -11 0 -11 -1 -12 -1 -11 -2 -12 0 -13 0 -13 0 -13 0 -14 0 0 0 0 0 0 0 0 0 0
1784734432.256721,56612,-37,11,1,7,1,-95,1,611623287,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -6 1 -7 1 -7 1 -7 2 -6 2 -6 3 -6 3 -7 3 -7 3 -7 3 -6 3 -7 3 -7 3 -7 4 -7 4 -6 4 -6 4 -6 4 -6 5 -6 4 -6 4 -7 4 -6 4 -6 5 -6 4 -6 0 0 4 -7 4 -7 5 -7 4 -7 4 -7 4 -7 4 -8 4 -7 4 -8 3 -8 3 -8 3 -9 3 -9 3 -9 3 -9 3 -10 3 -10 3 -10 3 -10 3 -11 3 -11 3 -11 3 -11 3 -12 3 -13 3 -13 0 0 0 0 0 0 0 0 0 0
1784734432.256721,56613,-37,11,1,7,1,-95,1,611633256,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -3 5 -3 6 -2 6 -2 6 -2 6 -2 7 -1 7 -1 7 -1 7 0 7 0 7 0 8 0 7 0 7 0 8 1 7 1 7 1 7 1 8 1 8 1 7 1 7 1 7 1 7 1 8 1 0 0 8 1 8 0 8 0 8 0 8 0 8 0 8 0 8 -1 8 -1 9 -1 9 -1 9 -1 9 -1 9 -2 10 -2 10 -2 10 -2 10 -2 11 -2 11 -3 11 -3 11 -3 12 -3 12 -2 12 -3 13 -3 0 0 0 0 0 0 0 0 0 0
1784734432.265155,56614,-37,11,1,7,1,-95,1,611643301,128,0 0 0 0 0 0 0 0 0 0 0 0 5 2 5 2 5 3 5 3 5 4 5 4 5 4 4 4 4 5 4 5 4 5 4 6 4 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 7 3 6 0 0 3 6 4 6 4 6 4 6 4 6 4 6 4 6 5 6 5 6 5 6 5 6 6 6 6 6 6 6 7 6 7 6 7 7 7 7 7 7 8 7 8 8 8 8 8 8 8 8 9 9 9 8 0 0 0 0 0 0 0 0 0 0
1784734432.274875,56615,-37,11,1,7,1,-95,1,611653232,128,0 0 0 0 0 0 0 0 0 0 0 0 5 3 5 3 5 4 5 4 4 4 4 4 4 4 4 5 4 5 4 5 4 5 4 5 4 6 4 6 4 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 0 0 3 6 4 6 4 7 4 6 4 6 4 6 4 6 4 6 5 7 5 6 5 6 6 6 6 6 6 7 6 7 6 7 7 7 7 7 7 7 8 8 8 7 8 8 8 8 9 8 9 8 9 9 0 0 0 0 0 0 0 0 0 0
1784734432.285219,56616,-37,11,1,7,1,-95,1,611663265,128,0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 5 -1 6 -2 6 -2 6 -2 6 -2 6 -2 6 -3 7 -3 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -5 6 -5 6 -4 6 -4 6 -4 6 -4 6 -5 6 -5 6 -4 6 0 0 -4 7 -4 7 -4 6 -4 7 -4 7 -4 7 -3 7 -4 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 10 -3 10 -3 10 -3 10 -2 10 -2 11 -2 11 -2 12 -3 12 -3 12 -3 12 -3 12 0 0 0 0 0 0 0 0 0 0
