pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784734512.327874,64318,-36,11,1,7,1,-95,1,691707244,128,0 0 0 0 0 0 0 0 0 0 0 0 2 5 2 6 1 6 0 6 0 6 0 6 0 7 0 7 0 7 -1 7 -1 7 -1 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 8 -2 8 -2 7 -2 7 -3 8 -2 8 -3 7 -2 7 -3 8 0 0 -2 8 -2 8 -2 7 -2 8 -2 8 -2 8 -1 8 -1 8 -1 8 -1 9 -1 9 -1 9 -1 9 0 9 0 10 0 10 0 10 0 10 0 10 1 11 0 11 1 11 0 12 0 12 0 12 1 12 0 0 0 0 0 0 0 0 0 0
1784734512.331396,64319,-36,11,1,7,1,-95,1,691710675,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -4 -5 -4 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -6 -5 -7 -4 -7 -4 -7 -4 -7 -4 -7 -3 -8 -3 -8 -4 -7 -4 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 0 0 -3 -8 -4 -8 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -9 -5 -8 -5 -8 -5 -9 -6 -8 -6 -9 -6 -9 -7 -9 -7 -10 -7 -10 -7 -10 -8 -10 -7 -10 -8 -11 -8 -11 -8 -11 0 0 0 0 0 0 0 0 0 0
1784734512.339444,64320,-36,11,1,7,1,-95,1,691722158,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -1 -7 -1 -7 -2 -7 -2 -7 -2 -7 -3 -8 -3 -7 -3 -7 -3 -7 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -8 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 0 0 -7 -5 -8 -5 -7 -5 -8 -5 -8 -5 -8 -5 -8 -4 -9 -5 -8 -4 -9 -5 -9 -4 -9 -4 -9 -4 -9 -4 -10 -3 -10 -3 -11 -4 -11 -4 -11 -3 -12 -3 -12 -4 -12 -3 -13 -4 -13 -4 -13 -4 -13 -4 0 0 0 0 0 0 0 0 0 0
1784734512.348982,64321,-36,11,1,7,1,-95,1,691730631,128,0 0 0 0 0 0 0 0 0 0 0 0 2 5 2 5 2 6 1 6 1 6 1 6 0 7 0 7 0 7 0 7 -1 7 -1 7 -1 7 -1 7 -1 7 -2 7 -2 7 -2 8 -2 8 -2 7 -2 8 -2 7 -2 8 -2 8 -2 8 -2 8 0 0 -1 8 -2 8 -2 8 -1 8 -1 8 -1 8 -1 8 -1 9 -1 8 0 9 0 9 0 9 0 9 0 10 1 10 1 10 1 10 1 10 1 11 1 11 2 11 2 11 2 12 2 12 2 12 2 13 0 0 0 0 0 0 0 0 0 0
1784734512.358682,64322,-37,11,1,7,1,-95,1,691740638,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 1 -7 1 -7 1 -7 2 -6 2 -7 3 -6 2 -6 3 -7 3 -7 3 -6 3 -7 4 -7 4 -6 4 -7 4 -7 4 -7 4 -7 4 -6 4 -7 4 -6 4 -7 5 -7 4 -6 4 -6 0 0 5 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -8 4 -7 4 -8 4 -8 3 -9 3 -9 4 -9 3 -9 3 -10 4 -10 4 -10 3 -10 4 -10 4 -10 3 -11 4 -11 5 -12 4 -12 4 -12 0 0 0 0 0 0 0 0 0 0
1784734512.365721,64323,-37,11,1,7,1,-95,1,691750719,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -3 -6 -4 -6 -4 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -6 -6 -6 -6 -6 -5 -6 -5 -6 -5 -6 -5 -7 -4 -7 -4 -7 -5 -7 -5 -7 -4 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 0 0 -5 -7 -5 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -7 -6 -7 -7 -7 -7 -7 -7 -8 -7 -8 -8 -7 -8 -8 -7 -8 -8 -9 -8 -9 -8 -9 -9 -9 -8 -10 -8 -10 -8 -11 -8 0 0 0 0 0 0 0 0 0 0
1784734512.374312,64324,-36,11,1,7,1,-95,1,691760693,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -5 -5 -5 -5 -6 -4 -6 -4 -6 -4 -7 -4 -7 -4 -7 -4 -7 -3 -7 -3 -8 -3 -8 -3 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -9 -2 -8 -2 -9 -2 -8 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 0 0 -2 -9 -2 -9 -2 -9 -2 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -10 -4 -9 -4 -9 -4 -9 -4 -10 -5 -10 -5 -10 -5 -11 -5 -11 -5 -11 -6 -11 -6 -11 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 0 0 0 0 0 0 0 0 0 0
1784734512.387047,64325,-36,11,1,7,1,-95,1,691770645,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 0 -7 -1 -8 -1 -8 -2 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 0 0 -8 -5 -8 -5 -9 -5 -8 -4 -9 -4 -9 -5 -8 -4 -9 -4 -9 -4 -9 -4 -10 -4 -10 -3 -10 -4 -10 -4 -11 -3 -11 -3 -11 -3 -12 -3 -12 -3 -12 -3 -12 -3 -13 -3 -13 -4 -14 -4 -14 -3 -14 -3 0 0 0 0 0 0 0 0 0 0
1784734512.396129,64326,-36,11,1,7,1,-95,1,691780719,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -5 4 -4 5 -4 5 -4 5 -4 6 -4 5 -3 6 -3 6 -3 6 -3 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -1 7 -1 7 -2 7 -1 7 -2 7 -1 8 -1 7 -2 0 0 8 -2 8 -1 7 -2 8 -2 7 -2 8 -2 8 -2 8 -3 8 -2 8 -3 8 -3 8 -3 8 -3 9 -4 9 -4 9 -4 9 -4 9 -4 10 -5 10 -5 10 -5 10 -5 10 -5 11 -5 11 -5 12 -6 0 0 0 0 0 0 0 0 0 0
1784734512.409312,64327,-36,11,1,7,1,-95,1,691790617,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -4 5 -3 6 -3 6 -3 6 -2 6 -2 6 -2 6 -2 7 -2 7 -1 7 -1 7 -1 7 0 7 0 7 0 7 0 7 0 7 0 7 0 8 0 7 0 7 0 7 0 8 1 7 0 7 0 0 0 8 0 8 0 8 0 8 0 8 0 8 -1 8 -1 8 -1 8 -1 9 -1 8 -1 9 -1 8 -1 9 -2 9 -2 9 -2 10 -2 10 -3 10 -3 10 -4 11 -3 11 -4 12 -3 12 -3 12 -3 12 -3 0 0 0 0 0 0 0 0 0 0
