pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783889078.664369,108503,-61,11,1,7,1,-95,1,1155174389,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -4 4 -4 4 -4 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 4 -4 4 -4 4 -4 4 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 0 0 5 -4 5 -5 5 -4 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 6 -6 5 -6 6 -6 5 -7 5 -6 6 -7 5 -7 6 -7 6 -7 6 -8 7 -8 7 -8 7 -9 8 -8 8 -8 8 -8 8 -8 0 0 0 0 0 0 0 0 0 0
1783889078.678147,108504,-61,11,1,7,1,-95,1,1155184440,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -3 -6 -3 -6 -3 -6 -2 -5 -2 -5 -3 -5 -3 -5 -3 -5 -3 -5 -3 -5 -3 -5 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -7 -3 -7 -3 -7 -3 -6 -3 -7 -3 -7 -3 -7 0 0 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 -7 -8 -7 -8 -8 -9 -8 -9 -8 -9 -7 -9 -7 -10 -7 -10 -7 -10 0 0 0 0 0 0 0 0 0 0
1783889078.691918,108505,-61,11,1,7,1,-95,1,1155194372,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -6 2 -6 2 -6 2 -6 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 2 -6 2 -6 2 -6 2 -6 3 -7 2 -6 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 0 0 3 -7 3 -7 3 -7 2 -7 2 -7 3 -8 2 -7 2 -8 2 -8 2 -8 2 -9 1 -9 2 -9 2 -10 2 -10 2 -10 1 -10 1 -11 2 -11 2 -11 2 -12 3 -12 2 -11 3 -12 2 -12 3 -13 0 0 0 0 0 0 0 0 0 0
1783889078.701937,108506,-61,11,1,7,1,-95,1,1155204417,128,0 0 0 0 0 0 0 0 0 0 0 0 5 2 4 2 4 2 4 2 4 2 4 2 4 2 3 2 4 2 4 2 4 2 4 2 4 2 4 3 4 2 5 2 5 2 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 0 0 5 3 6 3 5 3 6 3 6 3 6 3 6 3 6 3 6 2 7 3 7 2 7 2 7 2 7 2 8 2 8 2 8 2 9 2 9 2 9 2 9 3 10 3 10 3 10 3 10 4 10 4 0 0 0 0 0 0 0 0 0 0
1783889078.709703,108507,-58,11,1,6,0,-95,1,1155215759,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -6 -8 -6 -7 -7 -7 -7 -7 -7 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 -6 -8 -7 -9 -7 -9 -7 -9 -7 -9 -8 -9 -8 -9 -8 -9 -8 -9 -8 -9 -8 -9 -8 -9 -8 -10 -8 0 0 -10 -9 -10 -9 -10 -9 -10 -9 -11 -9 -10 -9 -11 -9 -11 -9 -12 -9 -12 -8 -13 -8 -13 -8 -13 -8 -13 -9 -14 -9 -14 -9 -14 -9 -15 -9 -15 -10 -16 -10 -16 -10 -16 -11 -16 -11 -16 -11 -16 -12 -16 -12 0 0 0 0 0 0 0 0 0 0
1783889078.726316,108508,-61,11,1,6,1,-95,1,1155225525,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -4 4 -4 4 -4 4 -4 4 -3 4 -3 3 -3 3 -3 3 -3 4 -4 4 -4 4 -4 4 -4 4 -4 4 -4 4 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 0 0 6 -4 6 -5 6 -5 6 -5 5 -5 6 -5 6 -5 6 -6 6 -5 6 -6 6 -6 6 -6 6 -6 6 -6 6 -7 6 -7 7 -7 7 -7 7 -7 7 -8 7 -8 8 -8 8 -8 8 -8 8 -7 9 -8 0 0 0 0 0 0 0 0 0 0
1783889078.738694,108509,-60,11,1,6,1,-95,1,1155235505,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 4 -3 5 -3 5 -3 5 -3 5 -3 5 -4 5 -4 6 -4 5 -4 5 -4 5 -4 5 -4 6 -4 6 -4 6 -4 6 0 0 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 7 -4 7 -4 7 -4 7 -4 7 -4 8 -4 8 -4 8 -4 8 -4 8 -4 9 -4 9 -5 9 -5 9 -5 10 -5 10 -5 10 -6 9 -6 10 0 0 0 0 0 0 0 0 0 0
1783889078.752317,108510,-57,11,1,7,0,-95,1,1155244762,128,0 0 0 0 0 0 0 0 0 0 0 0 7 1 7 1 7 2 6 2 6 2 7 2 6 2 6 1 7 1 7 1 7 1 7 1 8 1 8 2 8 2 8 1 9 2 9 2 9 2 9 2 9 2 9 2 9 2 9 3 10 3 9 3 0 0 10 2 10 2 10 2 10 2 10 2 10 2 11 1 11 2 11 1 12 1 12 1 12 1 12 1 13 1 13 0 13 1 13 1 14 0 14 0 15 0 15 1 16 1 16 2 16 2 16 2 16 2 0 0 0 0 0 0 0 0 0 0
1783889078.754332,108511,-57,11,1,6,0,-95,1,1155255775,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -2 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -4 -1 -4 -1 -4 -1 -4 -1 -4 -1 -4 -1 -3 -1 -4 -2 -4 -2 0 0 -4 -1 -4 -1 -4 -1 -5 -1 -4 -1 -4 -1 -4 -1 -4 -1 -4 -1 -5 -1 -5 -1 -4 -1 -5 -1 -5 -1 -5 -1 -5 0 -5 -1 -5 -1 -5 0 -6 0 -5 -1 -6 0 -6 -1 -6 -1 -6 -1 -6 -1 0 0 0 0 0 0 0 0 0 0
1783889078.768138,108512,-60,11,1,7,1,-95,1,1155264421,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -4 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -5 -6 -5 -5 -5 -6 -5 -6 -6 -6 -6 -5 -6 -6 -5 -5 -6 -5 -6 -6 -6 0 0 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 -6 -8 -7 -8 -6 -8 -6 -9 -6 -9 -7 -9 -7 -9 -8 -9 -7 -9 -8 -9 -8 -9 -8 0 0 0 0 0 0 0 0 0 0
1783889078.783952,108513,-60,11,1,7,1,-95,1,1155355942,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -4 4 -4 4 -4 4 -4 4 -4 4 -3 4 -3 4 -3 4 -4 4 -4 4 -4 4 -4 5 -4 5 -4 5 -4 5 -4 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 0 0 -5 5 -5 6 -5 5 -6 6 -5 6 -5 6 -5 6 -6 6 -5 6 -6 7 -5 7 -5 7 -5 7 -5 7 -6 8 -5 8 -6 8 -6 8 -6 8 -6 9 -6 9 -6 9 -7 9 -7 8 -7 8 -7 8 0 0 0 0 0 0 0 0 0 0
1783889078.799606,108514,-60,11,1,7,1,-95,1,1155356246,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 5 -1 5 -1 5 -2 5 -2 5 -1 5 -2 5 -1 5 -1 5 -1 5 -1 5 -1 5 -1 6 -1 6 -1 6 -2 6 -2 6 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 0 0 -2 7 -2 7 -2 7 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 -1 9 -1 9 -1 9 -1 9 -1 9 -1 10 -1 9 -1 10 -1 10 -1 10 -1 11 -1 10 -1 11 -2 11 -2 11 -2 11 -2 11 0 0 0 0 0 0 0 0 0 0
1783889078.822431,108515,-60,11,1,7,1,-95,1,1155356668,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 2 -6 2 -6 2 -6 3 -6 3 -6 3 -6 3 -7 3 -7 3 -7 3 -7 3 -7 4 -7 4 -7 4 -7 0 0 3 -7 4 -7 4 -7 3 -7 4 -8 4 -8 3 -8 4 -8 3 -8 4 -8 4 -9 3 -8 3 -9 4 -9 3 -9 3 -9 4 -9 4 -10 4 -10 4 -10 4 -10 4 -11 5 -10 5 -10 5 -10 5 -10 0 0 0 0 0 0 0 0 0 0
1783889078.833274,108516,-60,11,1,6,1,-95,1,1155362788,128,0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 1 5 1 5 1 4 1 4 1 4 1 5 1 5 1 5 1 5 1 5 1 5 1 6 1 6 1 6 1 6 1 6 1 6 2 6 2 7 2 7 2 7 2 7 2 7 2 7 2 0 0 7 2 7 2 7 2 7 2 7 1 7 2 7 2 8 1 8 1 8 1 8 1 8 1 9 1 9 1 9 1 9 1 9 1 9 1 10 1 10 1 10 1 11 1 10 1 10 2 10 2 11 2 0 0 0 0 0 0 0 0 0 0
1783889078.849126,108517,-54,11,0,0,0,-95,1,1155364672,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -9 1 -9 2 -9 2 -8 2 -9 2 -8 2 -8 2 -9 2 -9 2 -9 2 -9 2 -10 2 -10 2 -10 2 -10 2 -11 2 -11 3 -11 3 -11 3 -12 3 -12 4 -12 3 -12 3 -12 4 -12 3 -12 0 0 3 -12 3 -13 3 -12 3 -13 3 -13 3 -13 3 -13 3 -14 3 -14 3 -14 3 -14 2 -15 2 -15 2 -15 2 -16 2 -15 2 -16 2 -16 2 -17 2 -17 3 -18 3 -18 3 -19 4 -18 4 -18 4 -18 0 0 0 0 0 0 0 0 0 0
1783889078.858911,108518,-60,11,1,7,1,-95,1,1155372370,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -1 5 -1 5 0 5 0 5 0 5 0 5 0 5 -1 5 -1 5 -1 5 -1 6 -1 6 0 6 0 6 0 6 0 6 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 0 0 7 0 7 0 8 0 7 0 8 0 8 0 8 0 8 -1 8 0 8 -1 8 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 10 -1 10 -1 10 -1 11 -1 11 -1 11 -1 11 -1 11 0 11 0 0 0 0 0 0 0 0 0 0 0
1783889078.874941,108519,-60,11,1,7,1,-95,1,1155377335,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -3 -5 -3 -6 -3 -6 -3 -6 -3 -5 -3 -6 -3 -5 -3 -5 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -4 -6 -4 -7 -4 -7 -4 -7 -4 -7 -4 -8 -4 -7 -4 -7 -4 -8 -3 -8 -4 -7 -4 -8 0 0 -4 -7 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -8 -6 -9 -6 -8 -6 -8 -6 -8 -6 -9 -6 -9 -6 -8 -7 -9 -7 -9 -7 -9 -7 -9 -7 -10 -7 -10 -7 -10 -7 -11 -7 -10 -7 -11 0 0 0 0 0 0 0 0 0 0
1783889078.886715,108520,-54,11,0,0,0,-95,1,1155380520,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 5 -7 5 -8 5 -7 4 -8 4 -8 4 -8 4 -7 4 -7 5 -8 5 -8 5 -8 5 -8 6 -9 6 -9 6 -9 6 -9 6 -10 6 -10 6 -10 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 0 0 -11 6 -11 6 -11 6 -12 7 -11 7 -11 7 -11 7 -12 7 -12 8 -12 8 -12 8 -12 9 -12 9 -12 9 -13 9 -13 9 -13 10 -13 10 -13 10 -14 11 -14 11 -15 11 -15 11 -16 10 -16 10 -16 10 0 0 0 0 0 0 0 0 0 0
