pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783890449.249985,214912,-54,11,1,5,1,-95,1,2263682606,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -5 -4 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -9 -2 -9 -2 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 0 0 -1 -9 -1 -9 -1 -9 -1 -8 -1 -8 -1 -9 -1 -8 -1 -9 -1 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -10 -4 -10 -4 -10 -4 -10 -4 -11 -4 -10 -4 -11 0 0 0 0 0 0 0 0 0 0
1783890449.260458,214913,-54,11,1,5,1,-95,1,2263691267,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 5 -2 6 -2 5 -3 6 -3 5 -3 5 -3 5 -3 6 -3 6 -3 6 -4 6 -4 6 -4 6 -4 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -6 6 -6 6 -6 6 -6 6 -6 6 0 0 -6 6 -6 5 -6 6 -6 6 -6 6 -5 6 -5 6 -6 6 -6 6 -5 7 -5 6 -5 6 -5 7 -5 7 -5 7 -5 8 -4 7 -4 7 -4 8 -4 8 -4 8 -5 9 -4 9 -4 8 -4 9 -4 10 0 0 0 0 0 0 0 0 0 0
1783890449.264472,214914,-54,11,1,5,1,-95,1,2263701279,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -5 4 -5 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 6 -4 6 -3 6 -4 6 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 8 -3 7 -2 8 -3 8 -2 8 -2 8 -2 0 0 8 -2 8 -2 8 -2 8 -2 7 -3 8 -2 8 -2 8 -3 8 -3 8 -3 7 -3 8 -4 8 -3 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -5 8 -5 8 -5 8 -6 8 -6 9 -6 9 -7 0 0 0 0 0 0 0 0 0 0
1783890449.280162,214915,-54,11,1,4,1,-95,1,2263712127,128,0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 -1 6 -1 6 -1 6 -1 6 -1 6 -2 6 -2 7 -2 7 -2 7 -2 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -4 7 -4 8 -4 7 -4 7 -4 7 -4 7 -5 7 0 0 -5 7 -4 7 -5 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -3 8 -4 8 -3 8 -3 8 -3 8 -3 8 -3 9 -3 9 -3 9 -2 9 -2 9 -2 9 -2 10 -2 10 -2 10 0 0 0 0 0 0 0 0 0 0
1783890449.294197,214916,-53,11,1,4,1,-95,1,2263724173,128,0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 0 6 0 6 1 6 1 6 1 6 1 6 1 6 2 6 1 6 2 6 2 6 2 6 2 7 3 6 3 6 3 6 3 7 3 6 3 7 3 7 4 6 4 6 4 6 4 6 4 0 0 6 4 6 4 6 5 6 4 6 4 6 4 6 4 6 4 6 3 6 3 6 4 7 3 7 3 7 3 7 3 7 3 7 3 7 3 8 3 8 3 8 3 9 3 9 2 8 3 9 3 9 3 0 0 0 0 0 0 0 0 0 0
1783890449.294197,214917,-53,11,1,4,1,-95,1,2263731236,128,0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 6 0 6 0 6 -1 6 0 7 -1 7 -1 7 -1 7 -1 6 -2 7 -2 7 -2 7 -2 8 -2 8 -2 7 -3 8 -3 8 -3 8 -3 8 -3 8 -4 8 -3 7 -4 8 -4 7 -4 8 0 0 -4 8 -4 7 -4 8 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -3 8 -4 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 9 -3 9 -2 9 -2 9 -2 9 -2 10 -2 10 -2 10 0 0 0 0 0 0 0 0 0 0
1783890449.310055,214918,-53,11,1,4,1,-95,1,2263741292,128,0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 6 0 6 0 6 0 7 0 6 0 7 -1 7 -1 7 -1 7 -2 7 -2 7 -2 7 -2 7 -2 7 -3 8 -2 7 -3 8 -3 8 -3 8 -3 8 -3 8 -4 8 -4 8 -4 7 -4 7 0 0 -4 7 -4 7 -4 7 -4 8 -4 7 -4 8 -4 7 -4 8 -4 7 -4 8 -3 8 -3 8 -3 8 -3 8 -3 9 -2 8 -3 9 -3 8 -3 9 -2 9 -2 9 -2 9 -2 10 -2 10 -2 10 -2 10 0 0 0 0 0 0 0 0 0 0
1783890449.325814,214919,-53,11,1,4,1,-95,1,2263751323,128,0 0 0 0 0 0 0 0 0 0 0 0 2 6 2 6 1 6 0 6 0 7 0 7 0 7 0 7 0 7 0 7 0 7 -1 7 -1 8 -1 8 -1 8 -2 8 -2 8 -1 8 -2 8 -2 8 -2 8 -2 9 -2 8 -2 8 -2 8 -3 8 0 0 -3 8 -3 8 -3 8 -3 8 -3 8 -2 8 -3 8 -2 8 -2 8 -2 8 -2 8 -1 8 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 0 10 0 10 0 9 0 10 1 10 1 10 0 0 0 0 0 0 0 0 0 0
1783890449.343929,214920,-53,11,1,4,1,-95,1,2263761351,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -7 0 -8 -1 -7 -1 -8 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -5 -8 -4 -8 -5 0 0 -9 -5 -9 -5 -8 -5 -9 -4 -8 -4 -8 -4 -8 -4 -9 -4 -9 -4 -9 -4 -9 -3 -9 -3 -9 -3 -9 -3 -10 -3 -10 -3 -10 -3 -10 -2 -10 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -1 -12 -1 0 0 0 0 0 0 0 0 0 0
1783890449.358048,214921,-52,11,1,4,1,-95,1,2263771185,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -6 3 -6 4 -6 4 -5 4 -5 5 -5 5 -5 4 -5 5 -5 5 -5 5 -5 5 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 7 -4 7 -4 7 -5 7 -4 7 -4 7 -4 7 -4 7 -4 0 0 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 6 -5 6 -5 7 -5 6 -5 7 -6 6 -5 7 -6 6 -5 7 -6 6 -6 7 -7 7 -7 7 -7 7 -7 7 -7 7 -8 7 -8 0 0 0 0 0 0 0 0 0 0
