pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783892440.400508,355605,-51,11,1,6,1,-95,1,3761398326,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -7 -5 -7 -4 -7 -4 -8 -4 -8 -4 -8 -3 -8 -3 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -9 -2 -10 -1 -9 -1 -10 -1 -9 -1 -10 -1 -10 -1 -10 0 -10 -1 -9 0 -9 0 -10 -1 -10 0 0 -1 -10 -1 -9 -1 -9 -1 -9 -2 -9 -2 -9 -2 -9 -3 -10 -2 -10 -3 -10 -3 -10 -3 -10 -4 -10 -4 -10 -4 -10 -4 -11 -4 -10 -4 -11 -5 -11 -5 -11 -5 -11 -5 -11 -5 -11 -6 -11 -6 -12 -6 -12 0 0 0 0 0 0 0 0 0 0
1783892440.412267,355606,-51,11,1,6,1,-95,1,3761408366,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -1 -8 -2 -8 -3 -8 -3 -8 -3 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -7 -7 -7 -7 -7 -8 -7 -8 -7 -7 -7 -8 -7 -7 -7 -7 -7 -7 -7 0 0 -7 -6 -8 -6 -7 -6 -8 -6 -8 -6 -8 -5 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -5 -10 -5 -10 -5 -11 -5 -11 -5 -11 -5 -11 -4 -12 -4 -12 -4 -12 -4 -12 -5 -12 -5 -13 -5 -13 -4 0 0 0 0 0 0 0 0 0 0
1783892440.436411,355607,-51,11,1,6,1,-95,1,3761418340,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -8 -4 -8 -3 -8 -3 -9 -3 -8 -2 -8 -2 -9 -2 -9 -1 -9 -1 -9 -1 -9 -1 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 1 -10 1 -10 1 -10 1 -10 1 -9 1 -9 1 -10 0 0 0 -9 0 -9 0 -9 0 -10 -1 -10 -1 -10 -1 -10 -1 -10 -2 -10 -2 -10 -2 -10 -2 -10 -3 -10 -3 -11 -3 -11 -4 -11 -4 -11 -4 -12 -4 -11 -5 -12 -4 -12 -5 -12 -4 -12 -4 -13 -5 -13 -5 -13 0 0 0 0 0 0 0 0 0 0
1783892440.443728,355608,-51,11,1,6,1,-95,1,3761428364,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -3 -8 -2 -8 -2 -9 -2 -8 -2 -9 -1 -9 -1 -9 0 -9 0 -9 0 -9 0 -9 0 -9 0 -10 1 -9 1 -9 1 -10 1 -9 1 -9 2 -9 1 -9 2 -9 1 -9 1 -9 1 -9 1 -9 0 0 1 -9 1 -9 1 -9 0 -9 0 -9 0 -9 0 -9 0 -10 0 -10 -1 -10 -1 -10 -2 -10 -2 -10 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -3 -12 -2 -12 -3 -12 -2 -12 -3 -12 -4 -12 -4 -12 -4 -13 0 0 0 0 0 0 0 0 0 0
1783892440.459444,355609,-51,11,1,6,1,-95,1,3761438378,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -4 -7 -4 -8 -3 -8 -3 -9 -3 -8 -3 -9 -3 -9 -2 -9 -2 -10 -1 -9 -1 -10 0 -10 0 -9 -1 -10 0 -10 0 -10 0 -10 0 -10 0 -10 -1 -10 0 -10 0 -10 0 -10 1 -9 0 -9 0 0 -1 -9 -1 -10 -1 -9 -1 -10 -1 -9 -2 -9 -2 -10 -2 -10 -2 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -4 -11 -4 -10 -4 -11 -4 -11 -5 -11 -5 -11 -5 -11 -6 -11 -6 -12 -5 -13 -5 -12 -5 -12 0 0 0 0 0 0 0 0 0 0
1783892440.475128,355610,-49,11,1,6,0,-95,1,3761448470,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 3 -10 3 -11 2 -11 1 -11 1 -11 1 -12 1 -12 0 -12 0 -12 -1 -12 -1 -12 -1 -13 -2 -13 -2 -12 -2 -13 -2 -13 -2 -13 -2 -12 -2 -13 -2 -13 -2 -12 -2 -12 -2 -12 -3 -12 -3 -12 -2 0 0 -12 -2 -12 -2 -12 -1 -13 -1 -12 -1 -13 0 -13 0 -13 0 -13 1 -13 1 -13 1 -13 1 -14 2 -14 2 -14 3 -14 3 -15 3 -14 3 -15 4 -15 4 -15 4 -15 5 -16 4 -16 4 -16 4 -16 5 0 0 0 0 0 0 0 0 0 0
1783892440.490826,355611,-51,11,1,6,1,-95,1,3761458411,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -2 7 -1 8 0 8 0 8 1 8 1 8 1 8 1 8 2 8 2 8 2 8 3 8 3 8 3 8 3 8 4 8 4 8 4 8 4 8 4 8 4 7 4 8 4 7 4 8 4 8 4 0 0 8 4 7 3 8 4 8 3 8 3 8 3 8 3 8 2 8 3 9 2 9 2 9 2 10 2 10 2 10 2 10 2 10 1 11 1 11 1 11 1 11 1 12 1 11 1 12 1 12 1 13 1 0 0 0 0 0 0 0 0 0 0
1783892440.506464,355612,-51,11,1,6,1,-95,1,3761468335,128,0 0 0 0 0 0 0 0 0 0 0 0 5 6 5 6 4 6 3 6 4 7 3 7 3 7 3 7 3 7 3 8 2 8 2 8 2 8 1 9 2 8 1 9 1 8 1 9 1 8 1 9 1 9 1 9 1 9 0 8 0 8 1 9 0 0 1 8 1 9 1 7 2 9 2 8 2 8 2 8 3 8 3 8 3 9 3 9 3 9 3 9 4 8 5 9 5 8 5 10 5 9 5 10 6 10 6 10 6 10 6 11 6 11 6 10 6 11 0 0 0 0 0 0 0 0 0 0
1783892440.506464,355613,-51,11,1,6,1,-95,1,3761478451,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -5 6 -5 6 -5 7 -4 7 -4 7 -4 7 -3 8 -3 8 -3 8 -3 8 -2 8 -2 8 -2 9 -2 9 -2 9 -1 9 -1 8 -1 9 -1 8 -1 8 -1 9 -1 8 -1 9 -1 8 -1 8 -1 0 0 9 -1 8 -1 9 -1 8 -1 8 -2 8 -2 8 -2 8 -3 9 -2 9 -3 9 -3 9 -3 9 -4 10 -4 9 -4 9 -4 9 -4 10 -5 10 -5 10 -5 10 -5 11 -5 10 -6 11 -5 11 -6 11 -6 0 0 0 0 0 0 0 0 0 0
1783892440.536729,355614,-51,11,1,6,1,-95,1,3761490059,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 2 -8 2 -8 1 -8 1 -9 1 -9 0 -9 0 -9 0 -9 0 -9 -1 -9 -1 -10 -1 -9 -2 -10 -2 -10 -2 -10 -2 -10 -2 -10 -3 -10 -2 -10 -2 -10 -2 -9 -2 -10 -2 -9 -3 -9 -2 -9 -2 0 0 -10 -2 -9 -2 -10 -2 -10 -1 -9 -1 -10 -1 -9 -1 -10 0 -10 0 -10 0 -10 0 -10 0 -10 1 -11 1 -11 1 -11 1 -11 1 -12 2 -12 2 -12 3 -12 3 -12 3 -12 3 -13 2 -13 3 -13 3 0 0 0 0 0 0 0 0 0 0
1783892440.538235,355615,-51,11,1,6,1,-95,1,3761498446,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 5 -7 4 -7 4 -7 4 -8 4 -8 3 -8 4 -8 3 -8 3 -9 2 -9 2 -10 2 -9 2 -10 1 -9 2 -10 2 -10 1 -10 2 -10 1 -10 1 -9 1 -10 1 -10 2 -9 1 -9 1 -9 1 0 0 -9 1 -9 2 -9 2 -9 2 -9 2 -9 3 -9 3 -9 3 -9 3 -9 4 -9 4 -9 4 -9 4 -9 4 -10 5 -9 5 -10 6 -10 6 -10 6 -10 7 -10 7 -10 7 -11 7 -11 7 -11 8 -11 7 0 0 0 0 0 0 0 0 0 0
1783892440.553954,355616,-49,11,1,6,0,-95,1,3761508382,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -4 -7 -5 -7 -6 -7 -6 -6 -6 -6 -7 -6 -7 -6 -7 -5 -7 -5 -8 -6 -7 -5 -8 -5 -8 -5 -8 -5 -9 -5 -9 -5 -8 -4 -9 -5 -9 -4 -9 -5 -8 -4 -9 -4 -9 -4 -8 -4 -9 -4 -8 0 0 -5 -8 -4 -9 -5 -9 -5 -7 -7 -8 -6 -8 -6 -8 -6 -8 -7 -8 -5 -7 -6 -7 -7 -7 -6 -7 -8 -7 -7 -9 -8 -8 -8 -8 -9 -8 -8 -9 -8 -8 -8 -9 -9 -9 -8 -9 -9 -8 -9 -9 -9 -9 0 0 0 0 0 0 0 0 0 0
