pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783892924.292107,424396,-54,11,1,6,1,-95,1,187048920,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -9 1 -9 2 -9 2 -9 2 -9 3 -9 3 -9 4 -9 3 -8 4 -8 4 -8 5 -8 5 -8 5 -8 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 0 0 4 -7 4 -7 4 -7 4 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -8 2 -8 2 -8 2 -8 2 -8 1 -8 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -10 1 -10 1 -10 1 -10 0 -10 0 0 0 0 0 0 0 0 0 0
1783892924.292107,424397,-54,11,1,6,1,-95,1,187058842,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -7 5 -7 6 -6 6 -6 6 -6 6 -6 7 -5 7 -6 7 -5 7 -5 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 8 -4 7 -4 8 -4 7 -4 7 -4 7 -4 7 -4 7 -3 7 -3 7 -4 0 0 7 -4 7 -4 7 -4 6 -4 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 5 -5 6 -6 5 -6 5 -6 5 -6 5 -7 5 -7 5 -7 5 -8 5 -7 5 -7 5 -8 5 -8 4 -8 4 -8 5 -8 0 0 0 0 0 0 0 0 0 0
1783892924.292107,424398,-54,11,1,6,1,-95,1,187071872,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -8 5 -8 6 -7 6 -7 6 -7 7 -7 7 -6 7 -6 7 -6 7 -6 8 -6 8 -5 8 -5 8 -5 8 -5 8 -4 8 -5 8 -4 8 -5 8 -4 7 -5 8 -4 8 -5 8 -4 7 -4 8 -4 0 0 7 -4 7 -4 7 -5 7 -5 6 -5 7 -5 6 -5 6 -6 6 -5 6 -6 6 -6 6 -6 6 -6 6 -6 5 -7 5 -7 5 -7 5 -7 5 -7 5 -8 5 -8 4 -8 4 -8 4 -8 4 -8 4 -8 0 0 0 0 0 0 0 0 0 0
1783892924.292107,424399,-53,11,1,6,1,-95,1,187078723,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -7 6 -7 6 -7 7 -6 7 -6 7 -6 8 -6 8 -5 8 -5 8 -5 8 -4 9 -4 8 -4 9 -4 8 -4 8 -4 8 -4 8 -3 9 -3 8 -4 8 -4 8 -4 8 -4 8 -3 8 -3 8 -3 0 0 8 -4 7 -4 7 -4 7 -5 7 -4 7 -5 7 -5 6 -5 6 -5 6 -5 6 -5 6 -6 6 -5 6 -6 5 -6 5 -7 5 -7 6 -7 5 -7 5 -7 4 -7 5 -7 5 -8 5 -8 4 -8 4 -8 0 0 0 0 0 0 0 0 0 0
1783892924.307953,424400,-50,11,1,6,0,-95,1,187089009,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -6 -8 -7 -8 -7 -7 -7 -7 -8 -7 -8 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -5 -10 -5 -10 -5 -10 -5 -10 -4 -10 -4 -10 -4 -10 -4 -9 -4 -10 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -5 -9 0 0 -5 -9 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -7 -7 -7 -6 -7 -6 -8 -6 -7 -5 -8 -6 -8 -5 -9 -6 -8 -5 -9 -5 -9 -5 -9 -4 -9 -4 0 0 0 0 0 0 0 0 0 0
1783892924.307953,424401,-51,11,1,6,0,-95,1,187100570,128,0 0 0 0 0 0 0 0 0 0 0 0 13 4 13 5 13 6 12 7 12 7 12 8 11 8 11 8 11 9 10 10 10 10 10 10 10 10 9 10 9 10 9 11 9 10 9 10 8 10 8 10 8 10 8 10 8 9 8 9 8 9 8 9 0 0 9 8 9 8 9 8 9 7 9 7 9 7 9 6 10 6 10 6 10 5 10 5 10 4 11 4 11 4 12 3 12 3 12 3 12 3 13 2 13 2 13 2 13 2 14 1 14 1 14 1 14 1 0 0 0 0 0 0 0 0 0 0
1783892924.307953,424402,-54,11,1,6,1,-95,1,187107684,128,0 0 0 0 0 0 0 0 0 0 0 0 8 3 8 3 7 4 7 5 7 5 7 5 6 6 7 6 6 6 6 6 5 6 5 7 5 7 5 7 5 7 5 7 5 7 4 7 4 7 4 7 4 6 4 7 4 6 4 6 4 6 4 6 0 0 4 6 5 6 4 5 5 5 5 5 5 5 5 5 6 4 6 4 6 4 6 4 7 4 7 3 7 4 7 3 7 3 7 3 8 3 8 3 8 3 9 3 9 3 8 2 9 2 9 2 9 2 0 0 0 0 0 0 0 0 0 0
1783892924.307953,424403,-53,11,1,6,1,-95,1,187130102,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 3 -9 3 -9 2 -10 1 -9 1 -10 1 -9 0 -10 0 -9 0 -9 -1 -10 -1 -10 -1 -10 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -1 -8 -2 -9 -2 -8 -2 -8 -2 -9 -2 0 0 -8 -1 -9 -1 -9 -1 -8 -1 -8 -1 -8 0 -8 -1 -9 0 -8 0 -9 1 -8 1 -9 1 -8 1 -9 1 -9 2 -9 2 -9 2 -9 2 -9 2 -10 3 -10 3 -10 3 -10 3 -9 3 -10 3 -10 4 0 0 0 0 0 0 0 0 0 0
1783892924.307953,424404,-53,11,1,6,1,-95,1,187132036,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 8 -2 8 -2 9 -3 8 -3 8 -3 8 -3 8 -4 8 -4 8 -5 8 -5 7 -5 7 -5 7 -6 7 -5 7 -6 7 -6 7 -5 7 -5 7 -5 7 -5 7 -5 7 -5 7 -5 7 -5 6 -5 6 0 0 -4 6 -4 7 -4 6 -4 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 8 -2 7 -2 8 -2 7 -2 8 -1 8 -2 8 -2 8 -1 9 -1 9 0 9 0 9 0 9 0 9 0 10 -1 10 0 9 0 0 0 0 0 0 0 0 0 0
1783892924.324098,424405,-53,11,1,6,1,-95,1,187137485,128,0 0 0 0 0 0 0 0 0 0 0 0 9 0 8 0 9 1 8 2 8 2 8 2 8 3 9 3 8 4 8 4 8 4 7 4 8 4 7 4 8 5 7 5 7 5 7 5 7 4 7 4 7 4 7 5 7 4 7 4 6 4 7 4 0 0 7 4 7 4 7 4 7 3 7 3 7 3 7 3 7 2 7 2 7 2 8 2 8 1 7 1 8 1 8 1 8 1 8 1 8 0 9 0 9 0 9 -1 9 0 9 0 9 -1 9 -1 9 -1 0 0 0 0 0 0 0 0 0 0
