pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782932191.189297,1,-45,11,0,0,0,-91,6,9378855,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 -6 -9 -6 -10 -7 -9 -7 -10 -8 -8 -8 -9 -9 -8 -9 -9 -9 -8 -11 -7 -11 -7 -11 -7 -11 -7 -11 -7 -11 -8 -11 -8 -10 -8 -12 -7 -11 -8 -11 -7 -11 -8 -11 -7 -12 -7 -11 -7 -12 -7 -11 0 0 -7 -11 -8 -11 -7 -10 -9 -11 -8 -10 -9 -10 -9 -10 -9 -11 -10 -10 -10 -11 -9 -11 -10 -11 -10 -10 -10 -10 -13 -10 -11 -8 -13 -10 -12 -10 -13 -10 -14 -9 -13 -10 -14 -9 -14 -11 -13 -11 -14 -12 -14 -11 0 0 0 0 0 0 0 0 0 0
1782932191.205250,2,-44,11,0,0,0,-91,6,9389232,128,0 0 0 0 0 0 0 0 0 0 0 0 10 3 10 4 10 6 9 6 9 7 9 7 8 7 9 7 8 8 9 8 8 8 9 8 8 8 8 9 8 9 7 10 7 10 7 10 7 10 6 10 7 10 6 11 7 10 7 10 7 10 7 10 0 0 6 10 6 11 7 11 7 10 7 10 7 10 7 10 8 10 7 11 9 10 9 9 10 9 10 9 10 9 9 10 10 10 10 9 11 9 11 11 11 11 12 10 11 11 13 10 13 10 13 10 13 11 0 0 0 0 0 0 0 0 0 0
1782932191.697396,3,-44,11,0,0,0,-91,6,9891079,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 10 -5 9 -6 9 -6 8 -7 9 -7 8 -8 9 -8 8 -8 8 -9 8 -9 8 -9 8 -9 8 -10 7 -10 7 -10 7 -10 7 -11 7 -10 7 -10 7 -11 7 -11 7 -11 7 -11 7 -11 7 -10 7 0 0 -10 7 -10 7 -10 7 -11 8 -10 8 -10 8 -10 8 -10 8 -9 9 -10 9 -10 9 -9 10 -9 10 -9 10 -9 11 -9 11 -10 11 -9 12 -10 12 -10 13 -10 12 -10 13 -10 13 -11 13 -11 13 -11 13 0 0 0 0 0 0 0 0 0 0
1782932191.713606,4,-44,11,0,0,0,-91,6,9900277,128,0 0 0 0 0 0 0 0 0 0 0 0 3 10 2 10 2 11 1 10 1 11 -1 10 -1 12 -2 12 -1 12 -3 12 -2 12 -3 12 -3 12 -3 12 -3 11 -3 13 -3 11 -4 13 -4 11 -4 12 -5 12 -4 12 -5 12 -4 12 -4 12 -4 11 0 0 -4 11 -3 12 -3 11 -3 13 -3 12 -4 12 -3 13 -3 12 -2 12 -2 14 -2 13 -1 13 -1 13 -1 13 0 15 0 13 0 16 0 15 -1 15 -1 16 -1 16 1 16 -1 18 1 17 0 17 0 17 0 0 0 0 0 0 0 0 0 0
1782932191.729540,5,-44,11,0,0,0,-91,6,9912964,128,0 0 0 0 0 0 0 0 0 0 0 0 -11 2 -11 2 -11 1 -12 0 -12 0 -12 -1 -12 -2 -12 -1 -12 -3 -12 -1 -12 -2 -12 -2 -12 -3 -12 -2 -12 -3 -12 -5 -13 -5 -12 -4 -13 -4 -13 -5 -12 -4 -12 -5 -12 -4 -13 -4 -12 -4 -12 -4 0 0 -12 -4 -12 -4 -13 -5 -12 -4 -13 -4 -13 -4 -13 -4 -13 -3 -13 -4 -13 -2 -14 -2 -14 -2 -14 -1 -14 -2 -14 -2 -15 -2 -14 -2 -15 -1 -16 -2 -16 -2 -17 -1 -17 -2 -17 0 -17 0 -18 0 -18 0 0 0 0 0 0 0 0 0 0 0
1782932191.731635,6,-44,11,0,0,0,-91,6,9926532,128,0 0 0 0 0 0 0 0 0 0 0 0 -13 -3 -12 -2 -14 -3 -12 -3 -14 -4 -12 -4 -13 -4 -13 -5 -14 -4 -13 -7 -12 -8 -12 -8 -12 -8 -12 -7 -12 -6 -14 -5 -12 -4 -14 -5 -12 -4 -14 -3 -14 -3 -14 -2 -15 -4 -14 -5 -14 -5 -13 -4 0 0 -14 -2 -15 -2 -13 -1 -16 -1 -14 -1 -14 0 -14 1 -15 1 -13 2 -15 1 -14 0 -14 1 -15 1 -13 3 -15 4 -14 4 -16 4 -15 3 -15 6 -15 5 -15 5 -15 6 -17 3 -16 1 -17 1 -16 2 0 0 0 0 0 0 0 0 0 0
1782932191.745755,7,-44,11,0,0,0,-91,6,9942131,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 8 -7 7 -9 8 -8 6 -9 7 -9 6 -10 6 -10 5 -11 6 -12 5 -11 5 -11 4 -12 5 -12 5 -11 4 -12 5 -11 4 -13 5 -12 4 -13 4 -12 3 -12 4 -13 4 -12 4 -12 4 -12 4 0 0 -12 4 -12 5 -11 5 -13 6 -12 5 -12 5 -12 5 -12 5 -11 6 -13 7 -11 7 -11 7 -11 8 -11 7 -12 10 -10 9 -12 10 -12 9 -12 9 -13 10 -13 9 -12 11 -14 11 -13 11 -13 11 -13 11 0 0 0 0 0 0 0 0 0 0
1782932191.761617,8,-44,11,0,0,0,-91,6,9952192,128,0 0 0 0 0 0 0 0 0 0 0 0 9 4 9 5 9 6 8 7 8 7 8 8 7 8 8 8 7 9 7 8 7 8 8 8 7 9 7 9 7 10 6 10 6 11 6 10 6 11 5 11 6 11 5 11 6 10 7 10 7 10 7 11 0 0 6 11 6 11 6 11 6 10 6 11 6 11 6 11 7 10 7 11 8 10 8 10 9 10 9 10 10 10 9 10 10 11 9 9 10 10 10 11 10 11 11 11 11 12 12 11 12 11 13 11 12 11 0 0 0 0 0 0 0 0 0 0
1782932192.270798,9,-44,11,0,0,0,-91,6,10454036,128,0 0 0 0 0 0 0 0 0 0 0 0 0 10 -1 10 -2 10 -2 10 -3 10 -3 10 -3 10 -3 10 -4 10 -4 11 -5 10 -5 11 -6 10 -6 10 -6 10 -6 10 -6 10 -6 10 -6 10 -7 10 -6 10 -7 10 -6 10 -7 10 -6 10 -6 10 0 0 -6 10 -6 10 -6 10 -6 10 -6 11 -6 11 -5 11 -5 11 -5 11 -4 12 -5 12 -4 12 -4 12 -4 12 -4 13 -4 13 -4 13 -3 14 -3 14 -3 14 -3 15 -3 15 -3 15 -4 15 -3 16 -3 16 0 0 0 0 0 0 0 0 0 0
1782932192.270798,10,-44,11,0,0,0,-91,6,10463545,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 -6 -9 -6 -10 -7 -9 -7 -10 -8 -8 -8 -8 -9 -8 -9 -9 -9 -8 -10 -8 -10 -7 -10 -8 -10 -8 -11 -7 -11 -8 -11 -8 -10 -8 -11 -7 -11 -7 -12 -7 -12 -7 -11 -7 -12 -7 -11 -7 -11 -7 -11 0 0 -7 -11 -8 -11 -8 -10 -9 -12 -8 -10 -8 -11 -8 -11 -8 -11 -8 -10 -10 -11 -10 -10 -10 -10 -10 -10 -10 -9 -12 -10 -11 -8 -12 -10 -12 -10 -12 -10 -13 -11 -12 -11 -13 -10 -14 -11 -14 -11 -14 -11 -14 -11 0 0 0 0 0 0 0 0 0 0
