pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782932263.083901,2,-45,11,0,0,0,-93,6,4517788,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -10 1 -9 1 -11 1 -10 2 -11 2 -10 2 -10 2 -11 2 -11 4 -11 5 -10 5 -10 5 -10 6 -10 4 -11 5 -12 5 -10 5 -12 5 -10 4 -12 5 -12 4 -12 6 -12 6 -11 6 -11 6 -11 0 0 5 -12 5 -12 4 -11 5 -13 4 -11 3 -12 3 -12 3 -13 2 -13 3 -13 4 -13 4 -12 3 -13 2 -13 1 -15 1 -13 1 -15 1 -14 0 -14 -1 -15 0 -16 -1 -16 0 -17 2 -16 1 -16 1 -16 0 0 0 0 0 0 0 0 0 0
1782932265.798035,3,-45,11,0,0,0,-91,6,9370775,128,0 0 0 0 0 0 0 0 0 0 0 0 11 4 10 4 11 5 9 5 10 6 9 6 10 6 10 7 10 7 9 9 8 9 8 10 8 10 8 10 8 9 9 10 9 9 9 10 8 10 9 10 9 10 9 10 8 11 7 11 7 11 7 10 0 0 8 9 9 10 8 9 10 10 8 8 9 8 10 8 10 8 10 6 10 8 9 8 10 8 9 7 10 6 12 6 11 5 12 6 12 5 12 4 13 3 13 5 13 3 14 5 13 5 14 5 13 5 0 0 0 0 0 0 0 0 0 0
1782932265.798035,4,-44,11,0,0,0,-91,6,9380386,128,0 0 0 0 0 0 0 0 0 0 0 0 9 5 9 7 8 7 8 8 8 8 8 9 7 9 7 9 6 10 7 9 7 9 7 10 7 10 7 11 6 11 5 12 5 13 5 11 5 12 5 12 5 12 4 13 5 12 6 11 6 12 6 12 0 0 5 11 5 12 5 12 5 11 5 11 5 11 5 11 6 10 6 11 7 10 7 10 8 10 9 9 9 10 8 9 8 10 9 8 9 9 10 9 9 9 11 9 10 10 11 8 12 8 12 8 12 8 0 0 0 0 0 0 0 0 0 0
1782932266.299356,5,-43,11,0,0,0,-91,6,9882638,128,0 0 0 0 0 0 0 0 0 0 0 0 5 8 4 8 4 10 3 9 3 10 2 10 2 10 2 11 1 11 1 11 1 11 1 11 1 12 1 12 0 11 0 12 0 11 -1 12 -1 12 -1 12 -1 12 -1 12 -1 12 -1 12 -1 12 -1 12 0 0 -1 12 -1 12 0 12 -1 12 0 12 -1 12 0 12 0 12 0 12 1 12 2 12 2 12 2 12 2 12 3 13 3 12 3 13 4 13 3 13 4 14 4 14 4 14 5 15 5 14 5 14 5 14 0 0 0 0 0 0 0 0 0 0
1782932266.315173,6,-44,11,0,0,0,-91,6,9892345,128,0 0 0 0 0 0 0 0 0 0 0 0 10 4 9 5 9 5 8 6 9 7 8 7 8 7 8 8 8 8 8 9 7 9 7 9 7 9 8 9 7 9 8 10 7 10 8 10 7 10 7 10 7 11 7 10 7 11 7 11 6 10 6 10 0 0 7 10 7 11 7 9 8 10 8 9 7 10 8 9 8 9 8 9 9 10 9 9 9 8 10 9 9 8 11 8 11 7 12 8 11 8 12 8 13 7 13 8 13 7 13 8 13 8 14 8 14 8 0 0 0 0 0 0 0 0 0 0
1782932266.323589,7,-44,11,0,0,0,-91,6,9904039,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -9 -7 -10 -7 -10 -6 -10 -6 -11 -6 -11 -5 -11 -5 -12 -4 -13 -5 -12 -5 -12 -5 -12 -4 -13 -4 -13 -4 -13 -3 -14 -3 -14 -2 -14 -2 -14 -1 -14 -2 -14 -1 -14 -2 -14 -3 -14 -3 -14 -2 -14 0 0 -2 -14 -1 -14 -2 -14 -2 -13 -2 -13 -2 -14 -2 -13 -3 -13 -3 -14 -4 -13 -5 -13 -5 -13 -6 -13 -6 -13 -5 -14 -5 -14 -6 -13 -6 -14 -6 -15 -6 -14 -7 -15 -7 -15 -9 -15 -9 -14 -9 -15 -9 -15 0 0 0 0 0 0 0 0 0 0
1782932266.335313,8,-44,11,0,0,0,-91,6,9911144,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -9 9 -8 10 -8 10 -7 10 -8 11 -7 11 -7 11 -7 12 -6 12 -6 12 -5 12 -5 12 -4 12 -5 11 -5 12 -5 12 -5 12 -6 12 -5 12 -6 12 -6 12 -6 13 -7 12 -6 12 -6 12 -6 0 0 12 -6 12 -6 11 -6 12 -6 11 -6 11 -7 10 -7 10 -8 10 -8 10 -8 10 -8 9 -8 9 -9 9 -9 10 -10 9 -10 9 -11 9 -10 10 -11 9 -10 10 -11 10 -10 10 -11 10 -10 10 -9 10 -9 0 0 0 0 0 0 0 0 0 0
1782932266.351078,9,-44,11,0,0,0,-91,6,9926556,128,0 0 0 0 0 0 0 0 0 0 0 0 9 6 8 6 9 8 7 7 8 8 6 8 7 10 6 10 6 10 6 11 6 10 5 10 5 11 5 11 4 11 5 12 4 10 5 12 4 11 4 11 3 12 4 12 4 12 4 11 3 11 3 11 0 0 3 11 5 11 4 9 5 12 4 10 4 11 4 10 4 10 5 10 6 11 6 9 6 9 7 9 6 9 9 10 8 8 9 11 8 10 8 10 10 10 9 11 10 10 10 11 10 11 11 10 10 10 0 0 0 0 0 0 0 0 0 0
1782932266.360522,10,-44,11,0,0,0,-91,6,9936237,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 7 -9 7 -10 7 -9 6 -11 7 -10 5 -11 6 -11 6 -11 6 -13 5 -13 3 -13 3 -13 2 -13 3 -12 4 -13 5 -12 4 -14 5 -12 4 -12 6 -13 5 -12 5 -14 4 -13 3 -13 3 -12 3 0 0 -12 4 -12 6 -11 5 -12 6 -11 5 -11 7 -10 7 -10 8 -9 8 -11 8 -11 7 -11 7 -10 8 -9 8 -10 11 -9 10 -10 11 -9 10 -8 12 -8 13 -8 13 -8 14 -10 14 -11 12 -11 12 -10 13 0 0 0 0 0 0 0 0 0 0
1782932266.866003,11,-44,11,0,0,0,-91,6,10438611,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -7 9 -7 9 -6 10 -6 10 -5 11 -5 10 -4 11 -5 11 -4 10 -5 11 -4 11 -4 12 -4 12 -3 13 -3 12 -2 13 -2 12 -2 13 -2 12 -2 13 -2 13 -2 12 -3 12 -2 13 -3 13 -3 0 0 13 -2 12 -1 14 -1 12 -1 12 -2 12 -2 12 -3 12 -3 13 -3 11 -4 12 -3 12 -5 13 -5 13 -6 12 -4 14 -5 12 -5 13 -6 14 -6 13 -7 14 -8 14 -7 13 -8 14 -8 14 -9 15 -9 0 0 0 0 0 0 0 0 0 0
1782932266.870624,12,-44,11,0,0,0,-91,6,10447681,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 5 -9 3 -11 4 -9 2 -11 3 -10 2 -12 1 -11 0 -12 1 -13 0 -12 1 -12 0 -13 0 -12 0 -12 -1 -14 -1 -11 -1 -14 -1 -12 -2 -13 -2 -13 -3 -13 -2 -14 -3 -13 -2 -13 -2 -12 -2 0 0 -12 -3 -14 -2 -11 -2 -14 -2 -12 -2 -13 -3 -13 -2 -13 -3 -13 -2 -14 -1 -13 0 -13 0 -13 0 -12 -1 -15 1 -12 1 -16 0 -14 1 -14 0 -16 1 -15 0 -15 1 -17 1 -16 2 -16 2 -16 2 0 0 0 0 0 0 0 0 0 0
1782932266.874749,13,-44,11,0,0,0,-91,6,10456949,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -11 -2 -11 -2 -12 -1 -11 -1 -12 0 -11 0 -12 1 -12 1 -13 2 -13 2 -12 3 -13 3 -12 3 -13 3 -12 3 -13 2 -13 3 -14 4 -12 3 -13 4 -13 4 -13 5 -14 4 -13 4 -13 4 -13 0 0 4 -13 4 -13 3 -12 3 -14 3 -13 3 -13 3 -13 3 -13 2 -13 3 -14 2 -13 2 -14 1 -13 1 -13 0 -15 -1 -14 0 -15 0 -15 -1 -15 -1 -15 -1 -16 -2 -16 0 -17 -1 -17 -1 -17 -1 -17 0 0 0 0 0 0 0 0 0 0
1782932267.242692,14,-44,11,0,0,0,-91,6,10817536,128,0 0 0 0 0 0 0 0 0 0 0 0 6 0 11 2 10 -1 12 0 12 0 9 3 7 0 9 2 11 2 10 4 10 4 10 4 9 4 9 4 10 3 11 4 10 3 11 4 10 4 10 4 10 4 11 4 11 5 10 5 10 5 9 5 0 0 10 5 11 4 10 4 12 4 10 4 11 3 11 3 11 3 12 2 12 3 12 3 12 3 12 2 11 2 14 0 12 0 15 1 14 1 14 0 15 0 15 0 15 -2 17 1 16 1 16 1 16 1 0 0 0 0 0 0 0 0 0 0
1782932267.374796,15,-46,11,0,0,0,-91,6,10956425,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -12 -1 -12 0 -13 1 -13 1 -12 2 -13 3 -12 2 -13 4 -12 2 -13 2 -13 3 -13 3 -13 3 -13 4 -13 5 -13 6 -13 5 -12 5 -13 6 -12 6 -12 7 -12 5 -12 4 -12 4 -12 4 -12 0 0 4 -11 5 -11 5 -12 4 -11 4 -12 4 -11 4 -11 3 -11 3 -12 1 -12 1 -12 0 -13 0 -13 0 -13 1 -13 1 -13 -1 -13 -1 -14 0 -15 0 -14 -1 -15 0 -15 -2 -14 -3 -15 -3 -15 -3 -16 0 0 0 0 0 0 0 0 0 0
1782932268.244358,16,-44,11,0,0,0,-91,6,11818026,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -8 -8 -9 -8 -9 -7 -10 -7 -10 -7 -10 -7 -11 -6 -11 -6 -11 -6 -11 -5 -11 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -13 -5 -13 -4 -12 -5 -13 -5 -13 -4 -13 -4 -13 0 0 -5 -13 -5 -13 -5 -12 -5 -13 -6 -12 -6 -13 -6 -12 -7 -12 -6 -12 -8 -12 -7 -12 -8 -12 -8 -13 -8 -12 -8 -13 -9 -13 -9 -14 -9 -13 -10 -13 -10 -14 -10 -14 -10 -14 -11 -15 -10 -15 -11 -15 -11 -15 0 0 0 0 0 0 0 0 0 0
1782932268.638270,17,-44,11,0,0,0,-91,6,12217637,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 8 -9 6 -11 7 -9 5 -11 6 -10 5 -12 4 -12 3 -12 4 -13 4 -12 4 -12 4 -13 4 -13 4 -13 2 -14 4 -13 3 -15 3 -13 2 -15 1 -14 0 -14 1 -15 2 -14 3 -14 3 -13 1 0 0 -13 0 -15 3 -12 2 -15 3 -13 3 -14 1 -14 1 -14 1 -14 2 -14 4 -13 5 -13 5 -12 6 -12 4 -14 7 -12 6 -15 7 -14 6 -15 6 -15 6 -15 5 -15 7 -16 8 -15 9 -14 9 -15 8 0 0 0 0 0 0 0 0 0 0
1782932268.638270,18,-44,11,0,0,0,-91,6,12225658,128,0 0 0 0 0 0 0 0 0 0 0 0 11 3 10 3 11 4 9 4 11 5 9 5 10 4 10 5 11 5 10 7 9 8 9 9 9 9 9 9 10 7 11 8 10 7 11 8 9 8 11 7 11 7 12 7 11 9 9 9 9 9 9 9 0 0 10 7 11 8 10 6 12 7 10 6 11 5 12 5 12 5 12 4 12 6 11 6 12 6 12 5 12 4 14 3 13 2 15 3 13 3 15 1 15 0 16 1 16 0 17 2 16 4 16 3 16 2 0 0 0 0 0 0 0 0 0 0
1782932268.638270,19,-44,11,0,0,0,-91,6,12226562,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 10 -1 10 -2 11 -2 10 -2 11 -3 10 -3 11 -3 11 -3 11 -5 12 -5 11 -6 11 -6 11 -6 11 -5 11 -5 12 -5 11 -6 13 -6 11 -5 12 -6 12 -5 12 -7 12 -6 11 -7 11 -6 11 0 0 -5 11 -5 12 -4 11 -5 13 -4 11 -4 12 -4 12 -3 12 -2 12 -4 13 -3 12 -4 12 -2 12 -2 12 0 14 0 13 0 14 -1 14 1 14 1 15 1 15 2 15 0 16 0 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0
1782932268.654415,20,-50,11,1,7,1,-91,6,12227417,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 1 -9 1 -9 -1 -9 -1 -9 -1 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -9 -3 -10 -3 -10 -3 -9 -4 -10 -4 -10 -4 -9 -4 -10 -4 -10 -4 -10 -5 -9 -4 -10 -5 -10 -4 -10 -4 0 0 -9 -5 -9 -5 -10 -5 -9 -5 -10 -4 -10 -4 -9 -4 -9 -4 -9 -4 -10 -3 -10 -3 -10 -3 -10 -2 -11 -2 -11 -3 -11 -3 -11 -2 -11 -2 -12 -2 -11 -2 -12 -2 -12 -2 -12 -1 -12 -2 -13 -1 -13 -2 0 0 0 0 0 0 0 0 0 0
1782932269.246925,21,-44,11,0,0,0,-91,6,12829443,128,0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 10 -1 10 -2 10 -2 9 -2 10 -2 9 -2 11 -4 10 -2 10 -3 10 -3 10 -3 11 -4 11 -5 12 -6 10 -6 11 -5 10 -6 10 -5 10 -5 11 -6 10 -5 10 -5 10 -5 11 -5 11 0 0 -6 11 -6 10 -6 11 -5 10 -5 11 -5 11 -5 11 -4 11 -5 12 -3 12 -4 12 -3 13 -3 13 -3 14 -5 12 -4 14 -3 12 -3 14 -3 14 -3 14 -2 15 -4 15 -1 14 -2 15 -2 16 -2 17 0 0 0 0 0 0 0 0 0 0
1782932270.244229,22,-44,11,0,0,0,-91,6,13817484,128,0 0 0 0 0 0 0 0 0 0 0 0 -12 0 -11 -1 -12 -2 -11 -2 -12 -3 -12 -3 -12 -4 -12 -4 -12 -4 -12 -5 -12 -5 -12 -5 -12 -6 -12 -5 -11 -6 -12 -6 -12 -6 -13 -7 -12 -6 -12 -7 -12 -7 -12 -7 -12 -7 -12 -7 -12 -7 -12 -7 0 0 -11 -6 -12 -6 -11 -5 -13 -6 -12 -5 -12 -6 -13 -5 -13 -5 -13 -5 -14 -4 -13 -4 -14 -3 -14 -3 -13 -3 -15 -3 -14 -2 -15 -3 -15 -3 -16 -3 -16 -2 -16 -3 -16 -2 -17 -3 -17 -3 -17 -2 -17 -2 0 0 0 0 0 0 0 0 0 0
