pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782932303.087043,1,-43,11,0,0,0,-91,6,9343504,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 3 -10 2 -11 2 -11 1 -11 1 -11 1 -11 0 -12 0 -12 -1 -12 0 -12 -1 -12 -1 -12 -2 -12 -2 -13 -2 -13 -2 -13 -2 -13 -2 -13 -3 -13 -3 -13 -3 -13 -3 -14 -3 -13 -3 -13 -3 -13 -3 0 0 -13 -3 -14 -3 -13 -3 -13 -3 -13 -2 -13 -2 -13 -2 -14 -1 -14 -2 -15 -1 -14 -1 -15 -1 -14 0 -15 0 -15 0 -15 0 -16 1 -16 1 -17 2 -16 1 -17 2 -17 1 -18 2 -18 2 -18 2 -18 2 0 0 0 0 0 0 0 0 0 0
1782932303.087043,2,-43,11,0,0,0,-91,6,9353680,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 6 -7 6 -8 5 -8 5 -8 5 -9 5 -9 5 -9 5 -9 5 -9 5 -10 5 -10 5 -10 4 -11 4 -11 4 -11 3 -11 3 -11 3 -12 3 -12 3 -12 3 -12 3 -12 3 -12 3 -12 3 -12 3 0 0 -12 3 -12 3 -12 3 -12 3 -12 4 -12 4 -12 4 -12 5 -12 4 -12 5 -12 5 -12 6 -12 6 -13 6 -13 6 -13 7 -13 6 -13 7 -13 8 -13 8 -13 8 -14 8 -14 9 -14 8 -15 9 -15 9 0 0 0 0 0 0 0 0 0 0
1782932303.600850,3,-44,11,0,0,0,-91,6,9855266,128,0 0 0 0 0 0 0 0 0 0 0 0 7 6 6 6 7 8 6 7 6 9 5 8 5 9 4 9 5 10 5 10 5 10 4 10 5 11 5 11 4 10 5 12 4 10 5 12 4 11 3 12 2 12 3 12 3 13 4 12 4 12 3 11 0 0 3 12 4 13 4 11 5 13 4 12 3 12 4 12 4 12 5 11 6 13 6 12 7 12 7 12 6 11 9 13 8 11 9 13 8 12 8 13 8 14 8 14 9 13 10 15 10 14 10 13 9 14 0 0 0 0 0 0 0 0 0 0
1782932303.609191,4,-44,11,0,0,0,-91,6,9864131,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -9 5 -8 6 -8 6 -8 6 -9 6 -8 7 -8 7 -9 7 -8 8 -8 8 -7 8 -7 9 -7 9 -7 9 -7 10 -8 9 -7 10 -8 9 -7 10 -8 10 -8 11 -7 11 -8 11 -7 11 -7 11 -7 0 0 10 -7 11 -8 10 -7 10 -8 10 -8 10 -8 10 -8 10 -9 10 -9 10 -10 10 -9 10 -10 10 -10 10 -10 10 -11 10 -11 10 -11 9 -12 10 -12 10 -12 10 -13 10 -13 11 -14 11 -13 11 -13 11 -14 0 0 0 0 0 0 0 0 0 0
1782932303.617665,5,-44,11,0,0,0,-91,6,9873188,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 0 -11 -1 -10 -2 -11 -2 -10 -2 -11 -3 -10 -3 -11 -3 -10 -5 -11 -2 -11 -3 -11 -2 -12 -3 -12 -4 -12 -5 -11 -6 -12 -7 -11 -6 -12 -6 -11 -7 -12 -6 -11 -8 -12 -5 -12 -5 -13 -6 -13 -5 0 0 -13 -6 -11 -7 -13 -8 -11 -6 -12 -6 -12 -6 -12 -7 -12 -6 -13 -7 -12 -4 -13 -4 -14 -4 -15 -4 -16 -4 -13 -6 -15 -6 -13 -4 -15 -4 -16 -5 -15 -5 -16 -4 -16 -7 -16 -3 -17 -3 -17 -3 -18 -4 0 0 0 0 0 0 0 0 0 0
1782932303.632837,6,-43,11,0,0,0,-91,6,9887743,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 10 -2 10 -3 10 -3 10 -3 10 -4 11 -5 10 -5 11 -6 10 -4 10 -4 11 -4 11 -5 11 -5 11 -5 11 -6 10 -6 11 -5 10 -6 11 -6 11 -5 11 -6 11 -4 12 -4 12 -4 13 -4 13 0 0 -5 13 -5 12 -6 13 -5 12 -4 12 -4 12 -5 12 -4 12 -4 13 -2 12 -2 13 -1 13 -1 13 -1 14 -3 13 -3 14 -2 13 -2 14 -3 15 -3 14 -3 14 -5 15 -2 14 -3 14 -3 14 -3 14 0 0 0 0 0 0 0 0 0 0
1782932303.651483,7,-44,11,0,0,0,-91,6,9906588,128,0 0 0 0 0 0 0 0 0 0 0 0 0 9 -1 9 -1 10 -2 9 -2 10 -3 10 -3 10 -4 10 -3 10 -5 11 -5 10 -6 10 -6 10 -6 10 -5 10 -5 11 -5 11 -6 11 -6 11 -6 11 -6 11 -6 11 -7 11 -7 11 -7 10 -7 10 0 0 -6 11 -6 11 -5 10 -6 12 -5 11 -5 11 -5 12 -5 12 -4 12 -5 12 -4 12 -4 12 -4 13 -4 12 -3 14 -2 13 -3 15 -3 14 -2 15 -2 16 -3 16 -2 16 -3 17 -3 16 -3 17 -3 17 0 0 0 0 0 0 0 0 0 0
1782932303.661254,8,-44,11,0,0,0,-91,6,9916608,128,0 0 0 0 0 0 0 0 0 0 0 0 6 7 5 8 5 8 4 9 4 9 4 9 3 9 4 10 3 10 3 10 3 10 3 11 2 11 2 11 2 11 1 12 1 12 1 12 1 12 0 12 1 12 0 12 1 12 1 12 1 12 1 12 0 0 0 12 0 12 0 12 1 11 1 12 1 12 1 12 1 12 1 12 2 12 2 12 2 13 3 13 3 13 3 13 3 13 4 13 3 13 4 13 4 14 4 14 4 15 5 14 5 14 5 15 5 15 0 0 0 0 0 0 0 0 0 0
1782932304.157193,9,-44,11,0,0,0,-91,6,10418572,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 9 -8 8 -10 8 -10 7 -10 7 -10 7 -11 6 -11 7 -12 6 -12 6 -12 6 -12 6 -13 5 -13 5 -13 4 -14 4 -13 4 -13 4 -13 4 -13 3 -14 4 -13 3 -13 3 -13 3 -13 3 -13 4 0 0 -13 3 -12 3 -12 3 -12 4 -12 4 -12 4 -12 5 -12 5 -12 5 -11 6 -11 6 -11 6 -11 7 -11 7 -11 7 -11 7 -12 8 -11 8 -11 9 -12 9 -12 9 -12 9 -12 10 -12 10 -12 10 -12 10 0 0 0 0 0 0 0 0 0 0
1782932304.172827,10,-44,11,0,0,0,-91,6,10427799,128,0 0 0 0 0 0 0 0 0 0 0 0 12 0 10 1 12 2 10 2 12 3 10 3 11 5 10 5 11 5 11 6 11 6 11 6 11 6 10 6 9 7 11 7 10 7 11 7 9 7 10 9 9 8 10 8 10 8 10 7 9 7 9 7 0 0 8 7 10 7 9 6 11 7 10 6 10 7 10 7 10 6 10 6 11 6 11 5 11 4 11 4 10 4 13 3 11 3 13 4 12 4 13 5 13 5 13 5 13 4 15 4 14 3 14 3 14 3 0 0 0 0 0 0 0 0 0 0
