pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782942801.265498,15,-57,11,1,6,1,-90,6,41879201,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -8 6 -8 7 -7 8 -6 8 -6 8 -6 8 -5 8 -5 9 -5 8 -4 8 -5 8 -4 9 -4 9 -3 9 -4 9 -3 9 -3 8 -3 8 -3 8 -3 8 -3 8 -4 7 -4 8 -4 7 -4 7 -4 0 0 7 -4 8 -4 7 -4 7 -5 7 -5 7 -5 7 -5 7 -5 7 -6 6 -6 6 -7 6 -7 6 -7 6 -7 6 -7 7 -8 5 -9 6 -8 6 -8 6 -9 6 -9 7 -10 7 -10 7 -10 7 -10 6 -11 0 0 0 0 0 0 0 0 0 0
1782942803.279877,16,-57,11,1,6,1,-90,6,43888200,128,0 0 0 0 0 0 0 0 0 0 0 0 9 1 9 2 9 3 8 3 9 4 8 4 7 5 7 6 7 5 7 6 7 5 7 6 6 6 7 6 6 5 7 6 6 6 6 6 6 6 6 5 6 6 6 6 6 5 6 5 5 6 6 6 0 0 6 5 6 6 6 5 6 5 6 4 6 5 7 4 6 4 7 4 7 5 8 4 8 4 7 4 8 3 9 3 8 3 8 4 9 4 9 3 10 3 9 3 11 3 10 4 10 3 10 3 11 3 0 0 0 0 0 0 0 0 0 0
1782942805.277825,17,-57,11,1,6,1,-90,6,45890904,128,0 0 0 0 0 0 0 0 0 0 0 0 6 8 5 7 4 9 3 9 4 9 3 9 3 10 2 9 2 9 2 9 1 9 1 9 0 10 0 9 1 9 1 10 0 9 0 9 0 10 1 9 0 9 1 9 1 9 0 8 0 8 1 9 0 0 1 9 1 8 0 8 1 8 1 8 2 8 1 8 2 8 3 8 3 8 3 8 3 8 3 8 3 9 4 8 5 7 5 9 5 8 5 8 5 9 6 9 6 9 6 9 6 10 7 9 6 9 0 0 0 0 0 0 0 0 0 0
1782942807.302475,18,-56,11,1,5,1,-90,6,47907827,128,0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 10 -2 10 -2 10 -2 9 -3 10 -3 9 -3 9 -4 9 -4 9 -3 9 -4 10 -4 9 -5 8 -4 9 -5 8 -5 8 -4 8 -5 8 -5 8 -5 9 -5 8 -4 8 -5 7 -4 8 -4 8 0 0 -4 8 -4 8 -4 8 -3 8 -3 8 -3 8 -2 8 -3 9 -3 8 -2 9 -2 9 -1 9 -1 10 -2 10 -2 9 -2 10 -1 10 -1 10 -1 11 0 11 0 11 -1 12 0 11 0 11 0 12 0 12 0 0 0 0 0 0 0 0 0 0
1782942809.297827,19,-54,11,1,4,1,-90,6,49903334,128,0 0 0 0 0 0 0 0 0 0 0 0 9 -3 9 -3 9 -2 10 -1 10 -1 10 -1 9 0 10 0 9 1 9 0 9 1 9 1 9 2 10 1 9 1 8 3 9 3 8 3 9 2 9 2 9 2 8 1 8 2 8 2 8 2 8 2 0 0 8 1 8 1 8 1 8 1 8 0 9 1 8 1 8 0 8 1 9 0 8 0 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 10 -2 11 -2 10 -3 11 -2 11 -4 11 -3 11 -3 12 -3 0 0 0 0 0 0 0 0 0 0
1782942811.303144,20,-55,11,1,6,1,-90,6,51923354,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -6 -9 -6 -9 -7 -8 -7 -9 -8 -7 -7 -8 -8 -8 -8 -7 -8 -7 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -8 -6 -9 -5 -9 -6 -8 -5 -9 -6 -9 -6 -8 -6 -9 -6 -8 -6 -9 -6 -8 -5 -8 0 0 -7 -7 -6 -8 -6 -7 -8 -8 -7 -7 -8 -7 -8 -6 -8 -7 -7 -6 -9 -7 -8 -7 -8 -7 -8 -6 -9 -6 -10 -6 -9 -4 -10 -5 -10 -6 -11 -4 -11 -5 -11 -4 -12 -3 -12 -5 -12 -5 -12 -5 -12 -5 0 0 0 0 0 0 0 0 0 0
1782942813.302094,21,-54,11,1,5,1,-90,6,53910596,128,0 0 0 0 0 0 0 0 0 0 0 0 7 7 7 6 6 8 6 8 5 8 4 8 4 8 4 9 3 9 3 9 4 9 3 9 3 9 3 10 2 9 1 9 2 9 2 9 1 9 2 9 1 9 1 8 2 9 2 9 2 9 3 9 0 0 3 8 3 8 3 9 2 9 3 8 3 9 3 8 3 8 3 8 4 9 4 8 5 8 5 8 5 8 5 8 4 8 6 9 6 9 7 8 6 9 6 9 6 9 6 10 7 9 7 9 8 9 0 0 0 0 0 0 0 0 0 0
1782942815.313266,22,-54,11,1,4,1,-90,6,55918202,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 6 -8 5 -9 5 -9 4 -10 3 -10 4 -10 4 -10 3 -10 2 -11 2 -10 1 -10 1 -11 1 -10 1 -10 1 -10 1 -10 1 -10 1 -9 0 -10 1 -10 1 -9 1 -10 1 -9 1 -9 0 -10 1 0 0 -10 2 -10 2 -9 1 -9 2 -9 2 -9 2 -9 3 -9 3 -8 3 -10 4 -8 4 -9 3 -9 4 -9 4 -10 5 -9 5 -10 6 -10 6 -9 7 -9 6 -10 6 -9 7 -10 7 -11 7 -10 7 -10 8 0 0 0 0 0 0 0 0 0 0
1782942817.305664,23,-56,11,1,6,1,-90,6,57921067,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -10 4 -10 5 -9 6 -9 6 -8 5 -8 6 -7 7 -8 6 -8 7 -7 8 -6 7 -6 8 -6 8 -6 7 -7 7 -6 7 -7 8 -6 7 -5 7 -6 7 -6 7 -7 7 -7 7 -6 7 -6 6 -6 0 0 6 -7 6 -7 5 -8 6 -8 5 -8 5 -7 4 -8 4 -8 4 -8 5 -9 5 -9 5 -9 4 -9 4 -9 3 -9 4 -10 4 -10 4 -10 4 -10 2 -12 4 -11 3 -11 4 -12 3 -12 3 -12 4 -12 0 0 0 0 0 0 0 0 0 0
1782942819.316142,24,-53,11,1,5,1,-90,6,59926895,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 9 -3 9 -4 8 -5 8 -6 8 -6 8 -6 8 -6 7 -6 7 -6 7 -7 7 -6 6 -7 6 -7 6 -6 6 -7 6 -7 6 -7 6 -7 6 -7 6 -6 6 -7 6 -6 5 -6 6 -6 6 -6 6 0 0 -6 6 -5 6 -6 6 -6 6 -5 6 -5 7 -4 7 -5 7 -4 7 -4 8 -5 7 -4 8 -3 7 -3 8 -4 9 -4 9 -3 9 -3 9 -3 9 -2 10 -2 10 -3 10 -3 11 -4 11 -3 11 -3 11 0 0 0 0 0 0 0 0 0 0
