pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784740697.311706,34000,-48,11,1,6,1,-95,1,418818854,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -8 2 -8 3 -8 3 -7 4 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 5 -7 5 -6 5 -6 5 -6 6 -6 6 -6 6 -6 5 -6 5 -6 5 -6 5 -6 5 -5 5 -5 5 -5 5 -5 0 0 5 -5 4 -6 4 -5 4 -5 3 -5 3 -6 3 -6 3 -6 3 -6 3 -7 3 -6 2 -7 2 -7 2 -7 2 -7 2 -8 2 -7 2 -8 1 -8 1 -8 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 0 0 0 0 0 0 0 0 0 0
1784740697.311706,34001,-48,11,1,6,1,-95,1,418828777,128,0 0 0 0 0 0 0 0 0 0 0 0 3 7 2 7 2 8 1 7 1 8 0 8 1 8 0 8 0 8 -1 8 -1 8 -1 8 -1 8 -1 8 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 0 0 -1 7 -1 7 -1 6 -1 7 0 6 0 6 0 6 0 7 0 6 1 7 1 7 1 6 1 6 1 6 2 7 2 6 2 7 2 7 3 7 3 7 3 7 4 7 4 8 3 7 4 8 4 7 0 0 0 0 0 0 0 0 0 0
1784740697.333330,34002,-48,11,1,6,1,-95,1,418838790,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -8 1 -8 1 -8 2 -8 2 -8 2 -8 3 -8 3 -8 3 -8 3 -8 3 -8 4 -7 4 -7 4 -8 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -6 4 -7 4 -6 4 -6 4 -6 0 0 3 -6 3 -6 3 -6 3 -6 3 -6 3 -7 2 -7 2 -7 2 -7 2 -7 1 -7 1 -7 1 -7 1 -8 1 -7 1 -8 0 -8 0 -8 0 -8 0 -9 -1 -9 0 -9 -1 -9 -1 -9 -1 -9 -1 -10 0 0 0 0 0 0 0 0 0 0
1784740697.341093,34003,-48,11,1,6,1,-95,1,418848776,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -4 -8 -3 -8 -3 -8 -2 -8 -2 -8 -2 -8 -2 -9 -1 -8 -1 -8 -1 -9 -1 -9 0 -9 0 -9 0 -9 1 -9 0 -9 0 -8 0 -9 0 -8 0 -8 1 -8 0 -8 1 -8 1 -8 0 -8 0 0 0 -7 0 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -2 -7 -2 -7 -2 -7 -2 -7 -3 -7 -3 -7 -3 -7 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -4 -8 -5 -8 -5 -8 0 0 0 0 0 0 0 0 0 0
1784740697.341093,34004,-49,11,1,6,1,-95,1,418858925,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -3 -8 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -5 -7 -6 -6 -5 -6 -6 -6 -6 -6 -7 -6 -7 -5 -6 -6 -7 -6 -7 -6 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -6 -5 -7 -5 -7 -4 -6 -5 -6 0 0 -5 -6 -5 -6 -5 -5 -5 -5 -5 -5 -5 -5 -5 -4 -6 -5 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -3 -7 -3 -7 -3 -7 -3 -8 -3 -8 -3 -8 -2 -8 -2 -8 -2 -9 -2 -9 -3 -9 -2 -9 -2 0 0 0 0 0 0 0 0 0 0
1784740697.356825,34005,-48,11,1,6,1,-95,1,418868777,128,0 0 0 0 0 0 0 0 0 0 0 0 5 4 6 5 4 5 5 6 4 6 4 6 3 6 4 7 3 7 3 6 3 7 3 7 2 7 2 7 3 8 2 7 2 8 2 7 2 8 1 7 2 7 1 7 1 6 1 7 1 6 1 7 0 0 2 6 1 6 2 6 2 6 2 5 2 5 3 5 3 5 3 5 3 5 4 5 4 5 4 5 5 5 4 5 5 5 4 5 5 5 5 5 6 5 6 5 6 5 6 4 6 4 7 5 7 5 0 0 0 0 0 0 0 0 0 0
1784740697.356825,34006,-49,11,1,6,1,-95,1,418879034,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -7 -6 -7 -5 -8 -5 -8 -5 -8 -4 -8 -4 -8 -4 -8 -4 -8 -3 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -8 -2 -8 -2 -8 -2 -8 -1 -8 -1 -8 0 0 -2 -8 -2 -8 -2 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -4 -6 -4 -7 -4 -7 -4 -6 -4 -6 -5 -6 -5 -7 -5 -6 -6 -7 -6 -6 -6 -6 -7 -6 -7 -6 -7 -6 -7 -7 -7 -7 -7 -6 -8 -6 0 0 0 0 0 0 0 0 0 0
1784740697.381929,34007,-48,11,1,6,1,-95,1,418888852,128,0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 6 4 6 4 7 4 6 3 7 3 7 3 7 3 7 2 7 2 7 2 8 2 8 2 8 2 8 1 8 1 8 1 8 1 8 1 8 1 7 0 7 1 7 1 7 0 7 1 7 0 0 1 7 1 6 1 6 1 6 2 6 2 6 2 6 2 6 2 6 3 6 3 6 3 6 3 6 4 6 4 6 4 6 4 6 5 6 5 6 5 6 5 6 6 6 6 6 6 6 6 6 6 6 0 0 0 0 0 0 0 0 0 0
1784740697.388965,34008,-49,11,1,6,1,-95,1,418900157,128,0 0 0 0 0 0 0 0 0 0 0 0 6 4 6 4 6 5 5 5 5 5 5 5 5 5 4 6 5 6 4 6 4 6 4 7 4 7 3 7 3 6 3 7 3 6 3 7 3 7 3 7 3 6 3 6 3 6 2 6 2 6 3 6 0 0 3 6 3 5 3 5 3 5 3 5 3 5 4 4 4 4 4 4 5 4 4 4 5 4 5 4 5 4 6 4 6 3 6 4 6 4 6 3 7 3 7 3 7 3 7 3 7 3 8 3 7 3 0 0 0 0 0 0 0 0 0 0
1784740697.388965,34009,-48,11,1,6,1,-95,1,418908815,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -4 6 -3 7 -3 7 -3 7 -2 7 -2 7 -2 8 -2 7 -2 8 -1 8 0 8 0 8 0 8 0 7 0 8 0 7 0 8 0 7 0 7 0 7 0 7 0 7 0 7 1 7 1 6 0 0 0 6 0 7 0 6 0 7 -1 6 -1 6 -1 6 -2 6 -2 6 -2 6 -2 6 -2 6 -2 6 -3 6 -3 7 -4 6 -3 7 -4 6 -4 6 -4 6 -5 6 -5 7 -5 7 -5 7 -5 7 -5 7 -5 0 0 0 0 0 0 0 0 0 0
