pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784740736.262127,37644,-48,11,1,6,1,-95,1,457777705,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -8 3 -8 4 -8 4 -8 4 -7 4 -8 4 -7 5 -7 5 -7 5 -7 6 -7 6 -7 6 -7 6 -7 6 -7 6 -6 7 -6 6 -6 6 -6 6 -6 6 -6 6 -5 6 -6 6 -5 6 -5 6 -5 0 0 5 -5 5 -5 5 -5 5 -5 4 -5 4 -6 4 -6 4 -6 4 -6 3 -6 3 -6 3 -7 3 -7 3 -7 2 -7 2 -7 2 -7 2 -8 2 -8 2 -8 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 0 0 0 0 0 0 0 0 0 0
1784740736.278118,37645,-48,11,1,6,1,-95,1,457787386,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -8 4 -8 4 -7 5 -7 5 -7 5 -7 5 -7 6 -7 6 -6 6 -6 6 -6 7 -6 7 -6 7 -5 7 -5 7 -5 7 -5 7 -4 7 -5 7 -4 7 -5 7 -5 7 -4 6 -4 7 -4 7 -4 0 0 6 -4 6 -4 6 -4 5 -4 5 -5 5 -5 5 -5 4 -5 5 -5 5 -6 5 -6 4 -6 4 -6 4 -6 3 -6 4 -7 3 -7 3 -7 3 -8 3 -8 3 -8 3 -8 2 -8 3 -8 3 -9 2 -9 0 0 0 0 0 0 0 0 0 0
1784740736.278118,37646,-48,11,1,6,1,-95,1,457797441,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -2 -8 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -8 -6 -8 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -7 -7 -6 -7 -7 -6 -7 -7 -7 -6 -6 -6 -6 -6 -7 -6 -6 -6 -6 -6 -6 0 0 -6 -6 -6 -5 -6 -5 -6 -5 -6 -4 -6 -5 -6 -4 -6 -4 -6 -4 -7 -4 -7 -3 -7 -3 -7 -3 -7 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -9 -1 -9 -1 -9 0 -9 -1 -9 -1 -9 -1 -10 0 0 0 0 0 0 0 0 0 0 0
1784740736.294177,37647,-48,11,1,6,1,-95,1,457807381,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -8 -2 -9 -1 -9 0 -9 0 -9 0 -9 0 -9 1 -9 1 -9 1 -9 2 -8 2 -9 2 -8 2 -9 2 -9 3 -8 3 -9 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 0 0 2 -7 2 -7 2 -7 2 -7 1 -7 1 -7 1 -7 1 -7 1 -7 0 -7 0 -7 0 -7 0 -8 -1 -7 -1 -7 -1 -8 -2 -7 -2 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -9 0 0 0 0 0 0 0 0 0 0
1784740736.310133,37648,-47,11,1,5,1,-95,1,457822518,128,0 0 0 0 0 0 0 0 0 0 0 0 1 8 1 8 0 8 0 8 -1 8 -1 9 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 -3 8 -3 9 -3 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 7 -3 7 -4 7 -4 7 -3 7 0 0 -3 7 -3 6 -3 7 -2 6 -2 6 -2 7 -2 6 -1 6 -1 7 -1 6 -1 7 0 7 0 7 0 7 1 7 1 7 1 7 1 7 1 7 2 7 2 7 2 7 3 7 3 7 3 7 3 8 0 0 0 0 0 0 0 0 0 0
1784740736.310133,37649,-48,11,1,6,1,-95,1,457827525,128,0 0 0 0 0 0 0 0 0 0 0 0 5 6 4 6 4 7 3 7 3 7 3 7 3 7 2 8 2 8 2 8 2 8 2 8 1 8 1 8 1 8 0 8 1 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 7 0 7 0 0 0 7 0 7 0 7 1 7 1 6 1 6 1 6 1 6 2 6 2 6 2 6 2 6 2 6 3 6 3 6 3 6 3 6 4 6 4 6 4 6 5 6 5 6 5 6 5 6 5 6 6 6 0 0 0 0 0 0 0 0 0 0
1784740736.326268,37650,-48,11,1,6,1,-95,1,457837366,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -9 1 -9 2 -9 2 -9 3 -9 3 -9 3 -8 3 -8 4 -8 4 -8 4 -8 4 -8 4 -8 5 -8 5 -8 5 -8 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 4 -7 5 -6 5 -6 5 -7 0 0 4 -7 4 -6 4 -6 3 -6 3 -6 3 -7 3 -6 2 -7 2 -6 2 -7 2 -7 1 -7 1 -7 1 -7 1 -8 1 -8 0 -7 0 -8 0 -8 -1 -9 -1 -9 -1 -9 -1 -8 -1 -9 -1 -9 -1 -10 0 0 0 0 0 0 0 0 0 0
1784740736.326268,37651,-48,11,1,6,1,-95,1,457847392,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -5 7 -4 7 -4 7 -4 8 -3 7 -3 8 -3 8 -3 8 -2 8 -2 8 -1 8 -1 8 -1 8 -1 8 -1 9 -1 8 -1 8 -1 8 0 8 -1 8 -1 8 0 8 -1 8 0 7 0 7 0 0 0 7 -1 7 -1 7 -1 7 -2 6 -2 7 -2 6 -2 6 -3 6 -3 6 -3 6 -3 6 -3 5 -3 6 -4 6 -4 6 -4 6 -5 6 -5 5 -6 6 -6 5 -6 5 -6 6 -6 6 -6 6 -6 6 -7 0 0 0 0 0 0 0 0 0 0
1784740736.342229,37652,-48,11,1,4,1,-95,1,457859855,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -3 -8 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -7 -6 -7 -7 -7 -7 -7 -6 -7 -7 -6 -6 -7 -7 -6 -7 -7 -7 -6 -6 -6 -6 -6 -7 -6 -7 -6 -6 -5 -6 0 0 -6 -5 -6 -5 -6 -5 -6 -5 -6 -4 -6 -4 -6 -4 -7 -4 -6 -4 -7 -4 -7 -3 -7 -3 -7 -3 -7 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -8 -1 -8 -1 -8 0 -9 -1 -9 -1 -9 0 -9 0 0 0 0 0 0 0 0 0 0 0
1784740736.357993,37653,-49,11,1,6,1,-95,1,457867462,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -2 -9 -2 -9 -3 -8 -3 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -8 -6 -7 -7 -7 -7 -7 -6 -7 -7 -6 -7 -7 -6 -6 -7 -6 -6 -6 -6 -6 -6 -6 -6 0 0 -6 -5 -6 -5 -6 -5 -6 -5 -6 -4 -6 -5 -6 -5 -6 -4 -6 -4 -7 -4 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -8 -2 -7 -2 -8 -2 -8 -2 -8 -2 -8 -2 -9 -1 -8 -1 -9 -1 -9 -1 -9 -1 0 0 0 0 0 0 0 0 0 0
